t,drain_voltage,drain_current,drain_resistance,gate_voltage,gate_current
1761671999.31011,0.050009,-6.25467e-10,79954.6578796323,0.999973,5.03457e-10
1761672000.33377,0.0500095,-4.40323e-10,113574.580478422,0.999973,2.9763e-10
1761672001.35735,0.0500093,-3.89385e-10,128431.500956637,0.999974,3.96347e-10
1761672002.38107,0.0500113,-3.61514e-10,138338.487582777,0.999974,2.77901e-10
1761672003.40442,0.0500095,-3.4833e-10,143569.316452789,0.999975,3.36778e-10
1761672004.42818,0.0500099,-3.36111e-10,148789.834310689,0.999973,3.30806e-10
1761672005.45153,0.0500091,-3.30853e-10,151152.022197169,0.999975,2.63476e-10
1761672006.47567,0.0500095,-3.24452e-10,154135.280411278,0.999976,3.60012e-10
1761672007.49924,0.0500067,-3.21209e-10,155682.748615388,0.999975,2.29311e-10
1761672008.52299,0.0500072,-3.17955e-10,157277.602176409,0.999976,3.62515e-10
1761672009.54684,0.050008,-3.14021e-10,159250.495985937,0.999973,2.44737e-10
1761672010.57056,0.0500076,-3.13997e-10,159261.394217142,0.999977,3.039e-10
1761672012.4258,0.0500083,-3.07298e-10,162735.52056961,0.999974,3.21007e-10
1761672013.44938,0.0500088,-3.08001e-10,162365.706604849,0.999974,2.34497e-10
1761672014.47311,0.0500081,-3.06106e-10,163368.571671251,0.999975,3.54242e-10
1761672015.49662,0.05001,-3.04413e-10,164283.391313774,0.999975,2.18689e-10
1761672016.52045,0.0500092,-3.04782e-10,164081.868351806,0.999974,3.34489e-10
1761672017.54521,0.0500069,-3.02076e-10,165544.101484395,0.999974,2.58231e-10
1761672018.56768,0.0500089,-3.02732e-10,165191.984990024,0.999976,2.80595e-10
1761672019.59154,0.0500099,-2.98703e-10,167423.494240098,0.999977,3.10457e-10
1761672020.61519,0.0500088,-3.00097e-10,166642.119048174,0.999977,2.31409e-10
1761672021.63872,0.0500085,-2.9844e-10,167566.344993969,0.999976,3.47972e-10
1761672022.66281,0.0500111,-2.97689e-10,167997.809794786,0.999976,2.13194e-10
1761672023.68638,0.0500101,-2.98226e-10,167691.951741297,0.999977,3.39103e-10
