t,drain_voltage,drain_current,drain_resistance,gate_voltage,gate_current
1761671999.3101141,0.050009,-6.25467e-10,79954.65787963234,0.999973,5.03457e-10
1761672000.3337662,0.0500095,-4.40323e-10,113574.58047842151,0.999973,2.9763e-10
1761672001.3573499,0.0500093,-3.89385e-10,128431.50095663674,0.999974,3.96347e-10
1761672002.381065,0.0500113,-3.61514e-10,138338.48758277687,0.999974,2.77901e-10
1761672003.404421,0.0500095,-3.4833e-10,143569.31645278903,0.999975,3.36778e-10
1761672004.4281824,0.0500099,-3.36111e-10,148789.83431068904,0.999973,3.30806e-10
1761672005.4515333,0.0500091,-3.30853e-10,151152.02219716914,0.999975,2.63476e-10
1761672006.4756668,0.0500095,-3.24452e-10,154135.28041127807,0.999976,3.60012e-10
1761672007.4992392,0.0500067,-3.21209e-10,155682.7486153875,0.999975,2.29311e-10
1761672008.5229924,0.0500072,-3.17955e-10,157277.60217640863,0.999976,3.62515e-10
1761672009.5468416,0.050008,-3.14021e-10,159250.49598593725,0.999973,2.44737e-10
1761672010.570564,0.0500076,-3.13997e-10,159261.39421714222,0.999977,3.039e-10
1761672012.4258013,0.0500083,-3.07298e-10,162735.52056960994,0.999974,3.21007e-10
1761672013.4493809,0.0500088,-3.08001e-10,162365.70660484867,0.999974,2.34497e-10
1761672014.4731095,0.0500081,-3.06106e-10,163368.57167125112,0.999975,3.54242e-10
1761672015.4966187,0.05001,-3.04413e-10,164283.39131377437,0.999975,2.18689e-10
1761672016.5204482,0.0500092,-3.04782e-10,164081.86835180555,0.999974,3.34489e-10
1761672017.545208,0.0500069,-3.02076e-10,165544.10148439463,0.999974,2.58231e-10
1761672018.5676827,0.0500089,-3.02732e-10,165191.98499002418,0.999976,2.80595e-10
1761672019.5915384,0.0500099,-2.98703e-10,167423.49424009802,0.999977,3.10457e-10
1761672020.6151924,0.0500088,-3.00097e-10,166642.1190481744,0.999977,2.31409e-10
1761672021.6387155,0.0500085,-2.9844e-10,167566.34499396864,0.999976,3.47972e-10
1761672022.6628096,0.0500111,-2.97689e-10,167997.80979478583,0.999976,2.13194e-10
1761672023.6863832,0.0500101,-2.98226e-10,167691.95174129689,0.999977,3.39103e-10
1761672024.7100697,0.0500081,-2.95007e-10,169514.96066195038,0.999977,2.47252e-10
1761672025.7336771,0.0500101,-2.96795e-10,168500.48012938222,0.99998,2.77805e-10
1761672026.7575533,0.0500057,-2.93517e-10,170367.30410845028,0.999978,3.22974e-10
1761672028.6129022,0.0500084,-2.93839e-10,170189.79781444944,0.999978,2.0988e-10
1761672029.6385162,0.05001,-2.93648e-10,170305.94453222907,0.999977,3.42095e-10
1761672030.660224,0.0500096,-2.91514e-10,171551.28055599387,0.999979,2.23494e-10
1761672031.6837003,0.0500093,-2.92528e-10,170955.6008313734,0.99998,2.93005e-10
1761672032.707823,0.0500095,-2.89643e-10,172659.10103126953,0.999978,2.82073e-10
1761672033.7311733,0.0500086,-2.91502e-10,171554.9121446851,0.999975,2.30002e-10
1761672034.7551007,0.0500078,-2.89094e-10,172981.10649131422,0.999975,3.3412e-10
1761672035.7787356,0.0500063,-2.9037e-10,172215.79364259393,0.999975,2.03419e-10
1761672036.8021688,0.0500099,-2.90334e-10,172249.54707337066,0.999975,3.3567e-10
1761672037.8259265,0.050008,-2.8702e-10,174231.76085290223,0.999975,2.32422e-10
1761672038.8525846,0.0500082,-2.89297e-10,172861.10813454684,0.999977,2.80201e-10
1761672039.8735037,0.0500081,-2.8584e-10,174951.37139658548,0.999976,2.90811e-10
1761672040.8970914,0.0500087,-2.87437e-10,173981.42897400126,0.999975,2.20728e-10
1761672041.920716,0.0500073,-2.85971e-10,174868.43071500256,0.999977,3.34048e-10
1761672042.9444933,0.0500087,-2.8559e-10,175106.62138030044,0.999979,2.12026e-10
1761672044.800095,0.0500088,-2.86102e-10,174793.60507790928,0.999976,2.80666e-10
1761672045.823169,0.0500069,-2.83051e-10,176670.9886204253,0.999975,2.97308e-10
1761672046.8469744,0.0500078,-2.84696e-10,175653.32846264084,0.999976,2.16234e-10
1761672047.8706439,0.0500089,-2.83313e-10,176514.66752319873,0.999978,3.34334e-10
1761672048.8946214,0.050009,-2.82419e-10,177073.78044678297,0.999977,1.99723e-10
1761672049.9181068,0.0500105,-2.83635e-10,176319.91820473495,0.999976,3.14999e-10
1761672050.941914,0.0500069,-2.81334e-10,177749.22334307266,0.999975,2.50018e-10
1761672051.965549,0.050008,-2.82991e-10,176712.33360778258,0.999974,2.58815e-10
1761672052.9891977,0.0500101,-2.8019e-10,178486.38423926622,0.999973,3.08323e-10
1761672054.0126855,0.0500087,-2.81703e-10,177522.78108504348,0.999974,2.01035e-10
1761672055.0365653,0.0500098,-2.80392e-10,178356.7291506177,0.999974,3.32725e-10
1761672056.060342,0.0500095,-2.7926e-10,179078.63639618992,0.999973,2.04623e-10
1761672057.0837286,0.0500085,-2.80333e-10,178389.62947637273,0.999974,2.95079e-10
1761672058.1075675,0.0500104,-2.77758e-10,180050.25957848202,0.999976,2.57337e-10
1761672059.131434,0.0500102,-2.8019e-10,178486.74113994074,0.999974,2.11763e-10
1761672060.9867845,0.050007,-2.7858e-10,179506.78440663367,0.999972,3.30567e-10
1761672062.010547,0.050006,-2.76685e-10,180732.60205649023,0.999974,1.93942e-10
1761672063.0342705,0.0500082,-2.78914e-10,179296.1271216217,0.999972,3.05605e-10
1761672064.0580153,0.0500088,-2.75373e-10,181603.86094497284,0.999972,2.54738e-10
1761672065.0814435,0.0500062,-2.77734e-10,180050.69598968799,0.999974,2.33471e-10
1761672066.105427,0.0500089,-2.75385e-10,181596.31061967794,0.999973,3.14689e-10
1761672067.1289964,0.0500077,-2.76101e-10,181121.0390400614,0.999974,1.90735e-10
1761672068.1526375,0.0500079,-2.76196e-10,181059.4650175962,0.999975,3.21305e-10
1761672069.1772416,0.0500074,-2.73907e-10,182570.7265604749,0.999975,2.19548e-10
1761672070.2001002,0.0500081,-2.76208e-10,181052.32288709955,0.999975,2.62392e-10
1761672071.2240572,0.0500063,-2.72751e-10,183340.48271133742,0.999974,2.87247e-10
1761672072.247665,0.0500057,-2.75421e-10,181560.9557731618,0.999977,2.02835e-10
1761672073.2709591,0.0500075,-2.73538e-10,182817.37820704986,0.999975,3.25716e-10
1761672074.3424854,0.0500049,-2.74682e-10,182046.51196656498,0.999976,2.28572e-10
1761672075.3661566,0.0500075,-2.74277e-10,182324.8030275962,0.999976,2.24328e-10
1761672077.2215943,0.050005,-2.72012e-10,183833.80144993603,0.999975,3.19445e-10
1761672078.2454467,0.0500069,-2.7138e-10,184268.92180706022,0.999974,1.86956e-10
1761672079.2693734,0.0500056,-2.72572e-10,183458.31560101552,0.999973,3.10969e-10
1761672080.292965,0.0500067,-2.69914e-10,185269.01161110576,0.999972,2.25961e-10
1761672081.3165736,0.0500075,-2.71952e-10,183883.55297993764,0.99997,2.58112e-10
1761672082.3406014,0.0500057,-2.69222e-10,185741.50700908544,0.999972,2.88749e-10
1761672083.3641372,0.050007,-2.70891e-10,184601.9247594051,0.999973,1.98245e-10
1761672084.3879807,0.0500057,-2.69377e-10,185634.63101898087,0.999977,3.20756e-10
1761672085.4117877,0.0500095,-2.68769e-10,186068.7058403313,0.999976,1.88875e-10
1761672086.4352765,0.0500068,-2.70569e-10,184820.8774841168,0.999977,2.90728e-10
1761672087.458888,0.0500054,-2.67839e-10,186699.4724442669,0.999973,2.38252e-10
1761672088.4827857,0.05001,-2.6983e-10,185338.9170959493,0.999975,2.48921e-10
1761672089.5067685,0.0500087,-2.67529e-10,186928.1461075248,0.999972,2.97618e-10
1761672090.530057,0.0500054,-2.68388e-10,186317.57008510065,0.999969,1.91152e-10
1761672091.5540776,0.0500071,-2.67708e-10,186797.18200427332,0.999969,3.20482e-10
1761672093.4094748,0.0500077,-2.66349e-10,187752.53520756602,0.999971,2.27976e-10
1761672094.4329736,0.0500121,-2.68245e-10,186441.87216909917,0.999973,2.44105e-10
1761672095.4566662,0.0500102,-2.65145e-10,188614.53167134963,0.999976,2.83778e-10
1761672096.4804764,0.050008,-2.67112e-10,187217.34703045915,0.999978,1.88828e-10
1761672097.5039864,0.0500093,-2.65837e-10,188120.16385980885,0.999976,3.18408e-10
1761672098.5275884,0.0500101,-2.64657e-10,188961.93941592323,0.999977,1.90496e-10
1761672099.5521479,0.0500065,-2.66993e-10,187295.17253261321,0.999979,2.90418e-10
1761672100.574961,0.0500076,-2.63679e-10,189653.32847894597,0.999977,2.4538e-10
1761672101.598915,0.0500054,-2.66421e-10,187693.16232579265,0.999978,2.29239e-10
1761672102.622436,0.0500057,-2.63691e-10,189637.49236796098,0.999979,3.00956e-10
1761672103.646146,0.0500087,-2.65062e-10,188667.93429461788,0.999979,1.84715e-10
1761672104.670037,0.0500093,-2.64502e-10,189069.6478665568,0.999975,3.14844e-10
1761672105.6931548,0.0500096,-2.62773e-10,190314.83447690593,0.999974,1.97744e-10
1761672106.716988,0.0500083,-2.65241e-10,188539.1021750031,0.999973,2.74777e-10
1761672107.7406263,0.0500108,-2.61712e-10,191090.9702268142,0.999971,2.6902e-10
1761672109.5962622,0.05001,-2.6536e-10,188460.95869761833,0.999972,1.93489e-10
1761672110.6198583,0.0500091,-2.62892e-10,190226.78514370922,0.999969,3.14713e-10
1761672111.6435537,0.0500061,-2.61617e-10,191142.3951807413,0.999971,1.82235e-10
1761672112.667168,0.050006,-2.63298e-10,189921.68569453625,0.999972,2.9484e-10
1761672113.6909008,0.0500059,-2.60365e-10,192060.7608549536,0.99997,2.17628e-10
1761672114.7145376,0.0500067,-2.62761e-10,190312.48929635677,0.999971,2.78258e-10
1761672115.7384756,0.0500013,-2.59411e-10,192749.34370554835,0.999972,2.69771e-10
1761672116.7616937,0.0500031,-2.61533e-10,191192.3160748357,0.999971,1.91391e-10
1761672117.7857766,0.0500035,-2.60127e-10,192227.2582238676,0.999975,3.05438e-10
1761672118.809508,0.0500066,-2.60353e-10,192072.30183635294,0.999976,1.75297e-10
1761672119.8328931,0.0500089,-2.61295e-10,191388.66032645098,0.999977,3.05104e-10
1761672120.8567178,0.0500083,-2.58327e-10,193585.2620902964,0.999975,1.95122e-10
1761672121.8803303,0.0500072,-2.60711e-10,191810.8556984554,0.999974,2.66325e-10
1761672122.9046357,0.0500094,-2.57349e-10,194325.2159518786,0.999975,2.35283e-10
1761672123.9281292,0.05001,-2.60222e-10,192182.05993344143,0.999977,2.06637e-10
1761672125.7831132,0.0500094,-2.58422e-10,193518.35370053633,0.999977,3.05629e-10
1761672126.8079712,0.0500078,-2.58684e-10,193316.16953503113,0.999977,1.73104e-10
1761672127.8306043,0.0500086,-2.59066e-10,193034.2074992473,0.999978,3.08907e-10
1761672128.8542163,0.0500089,-2.55549e-10,195692.01992572853,0.999974,1.7432e-10
