t,drain_voltage,drain_current,drain_resistance,gate_voltage,gate_current
1762288648.3730788,0.0500106,-1.30209e-09,38407.94415132595,0.999976,1.7402e-06
1762288649.6046536,0.0500126,-7.83873e-10,63801.91689214961,0.999979,1.76191e-06
1762288650.6278496,0.050014,-6.10328e-10,81946.10111284425,0.999979,1.77129e-06
1762288651.655655,0.0500161,-6.08587e-10,82183.97698274856,0.99998,1.77855e-06
1762288652.6916554,0.050012,-4.61447e-10,108380.81079733967,0.999979,1.78291e-06
1762288653.7147794,0.0500113,-5.51569e-10,90670.97679528763,0.999979,1.79096e-06
1762288654.7383268,0.0500114,-4.34816e-10,115017.38666470414,0.999978,1.78936e-06
1762288655.7619698,0.0500108,-4.76682e-10,104914.38736935737,0.999979,1.7912e-06
1762288656.7856255,0.0500117,-4.76849e-10,104879.53209506575,0.99998,1.79072e-06
1762288657.809167,0.050014,-4.03512e-10,123946.74755645433,0.999978,1.79835e-06
1762288658.8327363,0.0500156,-5.12695e-10,97554.29641404735,0.99998,1.79513e-06
1762288659.8562715,0.0500139,-3.72434e-10,134289.29689555735,0.999979,1.79586e-06
1762288661.711642,0.0500143,-4.59588e-10,108824.20776869718,0.999979,1.80201e-06
1762288662.7351003,0.0500131,-4.35603e-10,114813.48842868391,0.999978,1.80359e-06
1762288663.7585566,0.0500147,-4.04835e-10,123543.41892375908,0.999979,1.80224e-06
1762288664.7826014,0.0500138,-4.85933e-10,102923.24250462512,0.999979,1.80269e-06
1762288665.8057728,0.0500119,-3.68869e-10,135581.73769007425,0.99998,1.8008e-06
1762288666.8300145,0.0500135,-4.84741e-10,103175.71651665529,0.99998,1.811e-06
1762288667.8534353,0.0500142,-3.76081e-10,132987.8403854489,0.999977,1.80261e-06
1762288668.8764896,0.0500127,-4.51028e-10,110886.02038010945,0.999978,1.80314e-06
1762288669.9007323,0.0500098,-4.3596e-10,114711.90017432791,0.999977,1.80021e-06
1762288670.924056,0.0500106,-3.80981e-10,131267.9634942425,0.999978,1.80381e-06
1762288671.947163,0.0500111,-4.7946e-10,104307.13719601219,0.999978,1.79264e-06
