t,drain_voltage,drain_current,drain_resistance,gate_voltage,gate_current
1762535098.628295,0.0500106,4.7142e-06,10.608501972763143,0.600033,8.71409e-09
1762535099.2676203,0.0500087,4.71373e-06,10.609156655132985,0.600035,8.99186e-09
1762535099.9072568,0.050008,4.70781e-06,10.622348820364458,0.600032,7.73307e-09
1762535100.5466957,0.0500106,4.70236e-06,10.63521295689824,0.600037,9.50578e-09
1762535101.187058,0.0500097,4.69464e-06,10.652510096620826,0.600034,9.02735e-09
1762535101.8266773,0.0500103,4.68591e-06,10.67248410660896,0.600035,8.99633e-09
1762535102.4661045,0.05001,4.67865e-06,10.688980795742362,0.600035,8.40985e-09
1762535103.105917,0.0500118,4.67005e-06,10.709050224301667,0.600033,7.7162e-09
1762535103.7451706,0.0500126,4.66142e-06,10.729048229938517,0.600033,8.14484e-09
1762535104.385519,0.0500108,4.65295e-06,10.748192007221226,0.600034,7.33824e-09
1762535105.0249567,0.0500099,4.64276e-06,10.771588451696834,0.600034,7.15902e-09
1762535105.6646888,0.0500109,4.63365e-06,10.792981774626913,0.600035,8.46731e-09
1762535106.3043106,0.0500096,4.62391e-06,10.815435421537185,0.600034,7.365e-09
1762535106.943649,0.0500101,4.61557e-06,10.83508645736063,0.600033,7.928e-09
1762535107.5838614,0.050011,4.60526e-06,10.85953887511237,0.600031,7.8895e-09
1762535108.223643,0.0500087,4.59595e-06,10.88103656480162,0.600032,7.08991e-09
1762535108.8633404,0.0500082,4.58773e-06,10.900423521000583,0.600032,7.50926e-09
1762535109.5032063,0.0500107,4.57839e-06,10.923206629404659,0.600032,6.40293e-09
1762535110.1427524,0.0500096,4.56983e-06,10.943426779551974,0.600035,7.09662e-09
1762535110.7823231,0.0500096,4.5611e-06,10.964372629409572,0.600031,7.21399e-09
1762535111.8380926,0.0500131,4.54892e-06,10.994499793357543,0.600029,7.42909e-09
1762535112.4776738,0.0500108,4.53573e-06,11.025964949412774,0.600031,7.96628e-09
1762535113.1176326,0.0500093,4.52571e-06,11.050045186280162,0.60003,6.9497e-09
1762535113.7571857,0.0500111,4.51825e-06,11.068688098268135,0.600032,7.12496e-09
1762535114.3967447,0.0500086,4.50875e-06,11.091455503188246,0.600028,7.61362e-09
1762535115.0365715,0.0500118,4.49883e-06,11.116623655483762,0.600029,6.97378e-09
1762535115.67669,0.0500098,4.48911e-06,11.140248289750085,0.600028,7.93118e-09
1762535116.3159404,0.0500104,4.47956e-06,11.164132191554529,0.600027,6.7553e-09
1762535116.9557016,0.0500094,4.47193e-06,11.18295679941323,0.600029,7.15375e-09
1762535117.5954323,0.0500106,4.4628e-06,11.206103791341759,0.600027,6.78337e-09
1762535118.2351491,0.0500111,4.4532e-06,11.230373663882151,0.60003,6.68066e-09
1762535118.874767,0.0500125,4.44494e-06,11.251557951288433,0.600032,7.39704e-09
1762535119.5142686,0.0500091,4.43542e-06,11.274941268245174,0.600029,6.27828e-09
1762535120.1539657,0.0500079,4.42739e-06,11.295119698061386,0.600033,6.71587e-09
1762535120.794314,0.050008,4.41877e-06,11.317176499342574,0.600028,7.30042e-09
1762535121.4339888,0.0500088,4.40922e-06,11.341869990610585,0.600031,6.62646e-09
1762535122.073793,0.0500069,4.40137e-06,11.361666935522347,0.600034,6.98291e-09
1762535122.7133293,0.0500063,4.39156e-06,11.386910346209547,0.600031,6.86098e-09
1762535123.3533716,0.0500073,4.38328e-06,11.408648318154441,0.600035,6.47373e-09
1762535123.9928768,0.0500103,4.376e-06,11.42831352833638,0.600032,7.17304e-09
1762535124.6323066,0.0500089,4.36583e-06,11.454614586458932,0.600034,6.87264e-09
1762535125.2725725,0.0500079,4.35635e-06,11.479311809198068,0.600035,6.95411e-09
1762535125.9121726,0.0500079,4.34904e-06,11.49860658904034,0.600034,5.71694e-09
1762535126.5515432,0.0500079,4.34217e-06,11.516799204084593,0.600036,6.61639e-09
1762535127.6068974,0.0500094,4.32626e-06,11.559499429068063,0.600037,7.7354e-09
1762535128.249898,0.05001,4.31867e-06,11.579954013619933,0.600039,6.79092e-09
1762535128.8863626,0.0500071,4.3111e-06,11.599614947461205,0.60004,7.60782e-09
1762535129.5264158,0.0500069,4.30261e-06,11.622457066757155,0.600037,6.92158e-09
1762535130.1663735,0.050008,4.2942e-06,11.645475292254666,0.600036,7.29647e-09
1762535130.8060696,0.0500088,4.2868e-06,11.66576467294952,0.600033,7.44894e-09
1762535131.4452174,0.0500104,4.27808e-06,11.689916972099635,0.600032,6.21533e-09
1762535132.0852933,0.0500094,4.27154e-06,11.707580872472224,0.600034,6.9001e-09
1762535132.7251632,0.0500086,4.26217e-06,11.733131245351546,0.600033,6.58538e-09
1762535133.3645608,0.0500088,4.25325e-06,11.757785223064715,0.600034,6.6725e-09
1762535134.0046334,0.050006,4.24662e-06,11.775482619118264,0.600035,6.82775e-09
1762535134.6443365,0.0500097,4.23702e-06,11.803036096124162,0.600034,6.16392e-09
1762535135.284214,0.0500112,4.22992e-06,11.823202330067708,0.600035,7.16125e-09
1762535135.9237258,0.0500117,4.22313e-06,11.842330214793293,0.600033,6.78529e-09
1762535136.563723,0.0500119,4.21471e-06,11.866035860118489,0.600034,6.46461e-09
1762535137.203193,0.0500104,4.20656e-06,11.88866912631699,0.600034,6.82231e-09
1762535137.84311,0.0500083,4.19755e-06,11.913687746423507,0.600033,6.84832e-09
1762535138.4827564,0.050011,4.19064e-06,11.93397667182101,0.600036,6.94169e-09
1762535139.122879,0.0500101,4.18354e-06,11.954015020771882,0.600035,6.68012e-09
1762535139.7623818,0.0500101,4.17482e-06,11.978983525038206,0.600037,6.58273e-09
1762535140.4024532,0.0500105,4.16865e-06,11.996809518669112,0.600037,6.92035e-09
1762535141.0417733,0.0500121,4.15988e-06,12.022486225564199,0.600035,6.57425e-09
1762535141.6816227,0.0500122,4.15316e-06,12.041963227999885,0.600038,7.10161e-09
1762535142.3212514,0.0500107,4.14671e-06,12.060332166946807,0.600037,6.57504e-09
1762535143.377029,0.0500094,4.13316e-06,12.099555787823359,0.600036,6.23988e-09
1762535144.016658,0.050011,4.12577e-06,12.121616086209363,0.600037,7.78174e-09
1762535144.6563015,0.0500105,4.11859e-06,12.142626481392904,0.600036,6.88007e-09
1762535145.296145,0.0500095,4.11057e-06,12.166074291399976,0.600037,7.15137e-09
1762535145.936071,0.0500101,4.1042e-06,12.185103065152772,0.600034,7.06191e-09
1762535146.5757155,0.0500118,4.09633e-06,12.208928479883214,0.600032,6.55209e-09
1762535147.215403,0.05001,4.0894e-06,12.229177874504815,0.600032,7.85366e-09
1762535147.8549516,0.0500093,4.08023e-06,12.256490442940716,0.600032,7.07544e-09
1762535148.4949372,0.0500098,4.0749e-06,12.272644727477976,0.600033,7.14719e-09
1762535149.1342132,0.050008,4.06778e-06,12.293683532541092,0.600032,7.05123e-09
1762535149.7740498,0.0500093,4.05958e-06,12.318835938693164,0.600033,7.53416e-09
1762535150.4137492,0.0500092,4.05434e-06,12.334732656856602,0.600034,7.34643e-09
1762535151.0535378,0.0500077,4.04601e-06,12.359756896300308,0.600033,7.02524e-09
1762535151.693199,0.050007,4.0392e-06,12.380421865715984,0.600034,7.56385e-09
1762535152.3332636,0.0500071,4.03304e-06,12.399356316823043,0.600034,7.1187e-09
1762535152.9727123,0.050008,4.02524e-06,12.423607039580247,0.600037,7.27303e-09
1762535153.6130202,0.0500098,4.01864e-06,12.444458821889992,0.600037,7.40895e-09
1762535154.2525177,0.05001,4.01106e-06,12.468025908363373,0.600032,6.68334e-09
1762535154.8917632,0.0500097,4.00437e-06,12.488781006750125,0.600034,6.99915e-09
1762535155.531698,0.0500107,3.99788e-06,12.509304931613755,0.600034,7.11882e-09
1762535156.1713986,0.0500111,3.99069e-06,12.531943097559571,0.600035,7.161e-09
1762535156.8110251,0.0500091,3.98394e-06,12.552673986054005,0.600036,8.60111e-09
1762535157.4509647,0.050008,3.97618e-06,12.57689541217953,0.600034,7.69749e-09
1762535158.0905142,0.0500095,3.96958e-06,12.59818419077081,0.600035,7.62672e-09
1762535159.1463208,0.0500114,3.95924e-06,12.631565654014405,0.600035,7.13967e-09
1762535159.7857008,0.0500113,3.95147e-06,12.656378512300487,0.600034,7.00705e-09
1762535160.4255245,0.0500098,3.94498e-06,12.676819654345524,0.600033,7.49754e-09
1762535161.0651815,0.0500087,3.93898e-06,12.69585019472046,0.600034,6.58935e-09
1762535161.7048826,0.0500102,3.93316e-06,12.715017949943558,0.600036,6.13652e-09
1762535162.3447006,0.0500106,3.92618e-06,12.737724709514083,0.600033,6.75361e-09
1762535162.9839945,0.0500107,3.91861e-06,12.762357060284131,0.600033,6.43177e-09
1762535163.6245246,0.0500096,3.9129e-06,12.780699736768126,0.600036,5.55155e-09
1762535164.2639365,0.0500096,3.90613e-06,12.802850903579758,0.600033,6.7461e-09
1762535164.9033768,0.0500079,3.89919e-06,12.825202157371146,0.600036,4.72366e-09
1762535165.54329,0.0500083,3.89204e-06,12.848865890381395,0.600036,7.21881e-09
1762535166.183578,0.0500068,3.88544e-06,12.870305550980067,0.60003,5.9019e-09
1762535166.8226974,0.0500073,3.8782e-06,12.894461348048061,0.600031,7.43244e-09
1762535167.4628444,0.050007,3.87341e-06,12.910329657846706,0.600029,6.51348e-09
1762535168.1021702,0.0500046,3.86718e-06,12.930507501590306,0.60003,5.83773e-09
1762535168.742038,0.0500064,3.86168e-06,12.949389902840213,0.600031,6.11342e-09
1762535169.3820755,0.0500079,3.85545e-06,12.970703808893905,0.600028,5.11456e-09
1762535170.0216002,0.0500081,3.84935e-06,12.991310221206179,0.600033,5.5387e-09
1762535170.6611657,0.0500072,3.84268e-06,13.01362590691913,0.600033,6.03179e-09
1762535171.301016,0.050008,3.83572e-06,13.037447988904297,0.600031,5.64278e-09
1762535171.9409108,0.0500059,3.83027e-06,13.055450399058028,0.600034,5.86326e-09
1762535172.5801623,0.0500096,3.8244e-06,13.076456437611128,0.600031,6.01165e-09
1762535173.2202134,0.0500109,3.81677e-06,13.10293782439078,0.600031,5.92809e-09
1762535173.8598657,0.05001,3.81131e-06,13.121472669502086,0.600034,5.69519e-09
1762535174.9152064,0.0500085,3.80171e-06,13.154212183464809,0.600031,5.26142e-09
1762535175.5552835,0.0500122,3.79469e-06,13.17952191088073,0.600035,5.7385e-09
1762535176.1947436,0.0500085,3.78941e-06,13.196909281392088,0.600035,6.20706e-09
1762535176.8346233,0.0500094,3.78255e-06,13.221081016774399,0.600033,5.20823e-09
1762535177.474315,0.0500079,3.77658e-06,13.241583655052986,0.600034,5.29317e-09
1762535178.1142173,0.0500077,3.77151e-06,13.259331143229105,0.600033,5.78729e-09
1762535178.753686,0.0500065,3.76565e-06,13.279646276207295,0.60003,4.85663e-09
1762535179.393063,0.0500066,3.76008e-06,13.299344694793726,0.600031,6.02473e-09
1762535180.0327585,0.0500056,3.75441e-06,13.319163330589893,0.600029,5.13246e-09
1762535180.6727269,0.050008,3.74722e-06,13.345360026899941,0.600032,4.95869e-09
1762535181.3125505,0.0500075,3.74309e-06,13.359951270207237,0.600033,5.83342e-09
1762535181.9523942,0.0500051,3.73601e-06,13.384626914810184,0.600032,4.7097e-09
1762535182.5922234,0.050006,3.73021e-06,13.405679572999912,0.600036,5.32644e-09
1762535183.2320783,0.050008,3.72505e-06,13.42478624447994,0.600036,5.80703e-09
1762535183.8715708,0.0500089,3.71892e-06,13.447156701407938,0.600034,4.6441e-09
1762535184.5111897,0.0500098,3.71359e-06,13.466699339453198,0.600035,5.05648e-09
1762535185.151304,0.0500119,3.70773e-06,13.488549597732304,0.600032,5.08201e-09
