t,drain_voltage,drain_current,drain_resistance,gate_voltage,gate_current
1761672164.31496,0.0500124,-6.6674e-09,7501.03488616252,0.999977,6.34491e-09
1761672165.33879,0.0500092,-5.8622e-09,8530.79048821262,0.999975,5.65342e-09
1761672166.36223,0.0500092,-5.51729e-09,9064.08762272782,0.999973,5.54867e-09
1761672167.38555,0.0500082,-5.19547e-09,9625.34669625655,0.999973,5.26386e-09
1761672168.4091,0.0500084,-5.31042e-09,9417.0329277157,0.999972,5.37083e-09
1761672169.43339,0.0500096,-5.34347e-09,9359.01202776473,0.999972,5.17879e-09
1761672170.45712,0.0500117,-5.14637e-09,9717.85938438161,0.999975,5.03627e-09
1761672171.48052,0.050011,-5.8704e-09,8519.18097574271,0.999973,5.75166e-09
1761672172.50398,0.0500101,-5.48106e-09,9124.16576355668,0.999974,5.09975e-09
1761672174.35954,0.0500108,-5.05128e-09,9900.61924898244,0.999978,5.02055e-09
1761672175.38313,0.0500105,-4.8632e-09,10283.455338049,0.999979,4.76658e-09
1761672176.40679,0.0500092,-4.73441e-09,10562.9212510112,0.999978,4.69651e-09
1761672177.43041,0.0500082,-4.59596e-09,10880.9040983821,0.999976,4.58843e-09
1761672178.45437,0.050008,-4.48947e-09,11138.9540413456,0.999977,4.32621e-09
1761672179.4778,0.0500066,-4.4235e-09,11304.7586752572,0.999978,4.47513e-09
1761672180.50221,0.0500081,-4.34269e-09,11515.466220246,0.999979,4.17188e-09
1761672181.52539,0.0500085,-4.28319e-09,11675.5268853355,0.999979,4.29506e-09
1761672182.54951,0.0500088,-4.10771e-09,12174.3745298475,0.999978,4.08231e-09
1761672183.57259,0.0500074,-4.10959e-09,12168.464494025,0.999978,4.04867e-09
1761672184.59633,0.0500082,-4.05233e-09,12340.604047548,0.99998,4.10471e-09
1761672185.6199,0.050007,-4.00277e-09,12493.0985292685,0.999979,3.86618e-09
1761672186.6441,0.0500065,-3.97466e-09,12581.3277110495,0.999977,4.03544e-09
1761672187.66745,0.0500042,-3.93007e-09,12723.4883857031,0.999978,3.82974e-09
1761672188.69115,0.0500038,-3.89935e-09,12823.6244502289,0.999972,3.85647e-09
1761672190.54654,0.0500062,-3.94499e-09,12675.8749705322,0.999975,3.8693e-09
1761672191.57066,0.0500053,-3.81634e-09,13102.9468024337,0.999975,3.68781e-09
1761672192.59409,0.0500051,-3.79596e-09,13173.2420784202,0.999974,3.8693e-09
1761672193.61837,0.0500015,-3.75102e-09,13330.1075440813,0.999974,3.64916e-09
1761672194.64129,0.0500048,-3.74767e-09,13342.9037241806,0.999975,3.74858e-09
1761672195.66585,0.0500043,-3.7105e-09,13476.4317477429,0.999972,3.6882e-09
1761672196.68959,0.050008,-3.69645e-09,13528.6558725263,0.999974,3.63054e-09
1761672197.71244,0.0500078,-3.73237e-09,13398.4036952392,0.999974,3.82435e-09
1761672198.73608,0.0500061,-3.75471e-09,13318.2323002309,0.999973,3.64014e-09
1761672199.75984,0.0500089,-3.76054e-09,13298.3294952321,0.999973,3.85276e-09
1761672200.78378,0.0500112,-4.00852e-09,12476.2256393881,0.999973,3.75658e-09
1761672201.80708,0.0500097,-3.9075e-09,12798.3877159309,0.999975,3.91426e-09
1761672202.83096,0.0500089,-3.91239e-09,12782.1868474257,0.999974,3.95297e-09
1761672203.85455,0.0500049,-3.94243e-09,12683.7762496734,0.999976,3.86201e-09
1761672204.87829,0.0500072,-3.94593e-09,12673.1087474943,0.999976,4.03744e-09
1761672206.7339,0.0500063,-3.95052e-09,12658.1563946012,0.999978,3.85383e-09
1761672207.75747,0.0500073,-3.94384e-09,12679.8500953386,0.999977,3.99876e-09
1761672208.78102,0.0500063,-3.94886e-09,12663.4775606124,0.999976,3.91463e-09
1761672209.80444,0.0500053,-3.95126e-09,12655.5326655295,0.999977,3.91843e-09
1761672210.82912,0.0500058,-3.94489e-09,12676.0948974496,0.999976,3.99389e-09
1761672211.85206,0.0500064,-3.94654e-09,12670.9472094544,0.999975,3.82719e-09
1761672212.8757,0.0500062,-3.94149e-09,12687.1310088317,0.999975,4.02557e-09
1761672213.89974,0.0500079,-3.93474e-09,12709.3276811174,0.999976,3.81433e-09
1761672214.92483,0.0500096,-3.93263e-09,12716.5789814958,0.999978,3.97211e-09
1761672215.9471,0.0500093,-3.91439e-09,12775.7581641073,0.999977,3.87834e-09
1761672216.97052,0.0500098,-3.91095e-09,12787.1233332055,0.999978,3.86214e-09
1761672217.99408,0.0500076,-3.89297e-09,12845.6165857944,0.999977,4.02442e-09
1761672219.01804,0.0500086,-3.90563e-09,12804.2338880027,0.999977,3.79145e-09
1761672220.04161,0.0500066,-3.89524e-09,12837.8739179101,0.999975,3.98361e-09
1761672221.06528,0.0500086,-3.88993e-09,12855.9125742623,0.999979,3.78644e-09
1761672222.92066,0.0500101,-3.88713e-09,12865.5589085006,0.999976,3.89469e-09
1761672223.9446,0.0500102,-3.87994e-09,12889.4261251463,0.999974,3.88427e-09
1761672224.96842,0.050006,-3.88374e-09,12875.7331850227,0.999975,3.79846e-09
1761672225.99155,0.0500092,-3.87625e-09,12901.4382457272,0.999974,3.95794e-09
1761672227.0157,0.0500092,-3.88074e-09,12886.5113354669,0.999973,3.75874e-09
