timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current
1763662617.579059,-1.0,0.05,0.0500018,4.4815e-05,-0.999963,-1.00365e-07
1763662619.4003043,-1.0,-0.05,-0.0499996,-4.29493e-05,-0.999964,-8.98e-08
1763662621.0621076,-0.99,0.05,0.0500036,4.3118e-05,-0.98996,-9.58003e-08
1763662622.4674892,-0.99,-0.05,-0.0500038,-4.15313e-05,-0.989961,-8.57047e-08
1763662623.8736777,-0.98,0.05,0.0499995,4.21032e-05,-0.979975,-9.33158e-08
1763662625.281027,-0.98,-0.05,-0.0500043,-4.07104e-05,-0.979971,-8.21848e-08
1763662626.685739,-0.97,0.05,0.05,4.1411e-05,-0.969967,-8.94884e-08
1763662628.0921628,-0.97,-0.05,-0.0500032,-4.00604e-05,-0.96996,-7.9159e-08
1763662629.9132466,-0.96,0.05,0.0500058,4.0874e-05,-0.959957,-8.9744e-08
1763662631.734494,-0.96,-0.05,-0.0500047,-3.96244e-05,-0.959955,-7.63997e-08
1763662633.140452,-0.95,0.05,0.0500019,4.05551e-05,-0.949965,-8.59954e-08
1763662634.546432,-0.95,-0.05,-0.0500053,-3.93294e-05,-0.949967,-7.46562e-08
1763662635.952372,-0.94,0.05,0.0499978,4.03048e-05,-0.939958,-8.21768e-08
1763662637.358388,-0.94,-0.05,-0.050005,-3.90841e-05,-0.939955,-7.25702e-08
1763662638.7800262,-0.9299999999999999,0.05,0.0499996,4.0027e-05,-0.929968,-8.2282e-08
1763662640.2020657,-0.9299999999999999,-0.05,-0.0500051,-3.88405e-05,-0.929968,-6.98574e-08
1763662641.6242304,-0.9199999999999999,0.05,0.0499981,3.97867e-05,-0.919961,-7.98612e-08
1763662643.045663,-0.9199999999999999,-0.05,-0.0500066,-3.86227e-05,-0.91996,-6.92314e-08
1763662644.4676185,-0.9099999999999999,0.05,0.0500013,3.95971e-05,-0.909974,-7.97069e-08
1763662646.3051724,-0.9099999999999999,-0.05,-0.0500053,-3.84157e-05,-0.909972,-6.47303e-08
1763662648.1423523,-0.8999999999999999,0.05,0.0500022,3.93947e-05,-0.899969,-7.6079e-08
1763662649.563689,-0.8999999999999999,-0.05,-0.0500031,-3.82446e-05,-0.899965,-6.39574e-08
1763662650.9857225,-0.8899999999999999,0.05,0.0499996,3.92089e-05,-0.889976,-7.2272e-08
1763662652.4082727,-0.8899999999999999,-0.05,-0.0500058,-3.80393e-05,-0.889973,-5.98667e-08
1763662653.8301644,-0.8799999999999999,0.05,0.0499979,3.90148e-05,-0.879967,-7.47299e-08
1763662655.252103,-0.8799999999999999,-0.05,-0.0500035,-3.78719e-05,-0.879968,-5.88388e-08
1763662656.674179,-0.8699999999999999,0.05,0.0499974,3.88163e-05,-0.869961,-6.99969e-08
1763662658.096002,-0.8699999999999999,-0.05,-0.0500052,-3.77115e-05,-0.869962,-5.61514e-08
1763662659.5173588,-0.8599999999999999,0.05,0.0500006,3.86407e-05,-0.859974,-6.69551e-08
1763662660.9398088,-0.8599999999999999,-0.05,-0.0500045,-3.75022e-05,-0.859977,-5.21061e-08
1763662662.7767348,-0.8499999999999999,0.05,0.050005,3.84942e-05,-0.849967,-6.27921e-08
1763662664.6140277,-0.8499999999999999,-0.05,-0.0500019,-3.73749e-05,-0.849969,-4.95369e-08
1763662666.0359874,-0.8399999999999999,0.05,0.0499986,3.83567e-05,-0.839982,-5.91773e-08
1763662667.4576952,-0.8399999999999999,-0.05,-0.0500048,-3.71977e-05,-0.839982,-4.74898e-08
1763662668.8800597,-0.8299999999999998,0.05,0.0499992,3.81812e-05,-0.829975,-5.85713e-08
1763662670.3013258,-0.8299999999999998,-0.05,-0.0500055,-3.70302e-05,-0.829975,-4.40719e-08
1763662671.7236888,-0.8199999999999998,0.05,0.0500028,3.80053e-05,-0.819989,-5.42492e-08
1763662673.145408,-0.8199999999999998,-0.05,-0.0500042,-3.68428e-05,-0.819985,-4.20616e-08
1763662674.566904,-0.8099999999999998,0.05,0.0500023,3.78166e-05,-0.809981,-5.30643e-08
1763662675.9892757,-0.8099999999999998,-0.05,-0.0500058,-3.66562e-05,-0.809982,-4.01707e-08
1763662677.4113173,-0.7999999999999998,0.05,0.0500013,3.76632e-05,-0.799995,-4.9529e-08
1763662679.2485461,-0.7999999999999998,-0.05,-0.0500074,-3.65235e-05,-0.799991,-3.69394e-08
1763662681.0854492,-0.7899999999999998,0.05,0.0500017,3.75222e-05,-0.789983,-4.58665e-08
1763662682.5077581,-0.7899999999999998,-0.05,-0.0500033,-3.63658e-05,-0.789986,-3.37306e-08
1763662683.9292014,-0.7799999999999998,0.05,0.050004,3.73359e-05,-0.779993,-4.47814e-08
1763662685.3512125,-0.7799999999999998,-0.05,-0.0500038,-3.61905e-05,-0.779996,-3.25054e-08
1763662686.773416,-0.7699999999999998,0.05,0.0500015,3.71422e-05,-0.769987,-4.31918e-08
1763662688.1953256,-0.7699999999999998,-0.05,-0.0500035,-3.60226e-05,-0.76999,-2.96477e-08
1763662689.617035,-0.7599999999999998,0.05,0.0499993,3.70202e-05,-0.759982,-3.88e-08
1763662691.0389466,-0.7599999999999998,-0.05,-0.0500048,-3.58424e-05,-0.759982,-2.78214e-08
1763662692.4610558,-0.7499999999999998,0.05,0.0500027,3.68667e-05,-0.749996,-3.69768e-08
1763662693.8826642,-0.7499999999999998,-0.05,-0.0500027,-3.5686e-05,-0.749995,-2.47884e-08
1763662695.7197542,-0.7399999999999998,0.05,0.0499977,3.66902e-05,-0.739986,-3.5291e-08
1763662697.557532,-0.7399999999999998,-0.05,-0.0500044,-3.55034e-05,-0.739989,-2.40239e-08
1763662698.9787135,-0.7299999999999998,0.05,0.0500013,3.65436e-05,-0.730002,-3.2035e-08
1763662700.417054,-0.7299999999999998,-0.05,-0.0500033,-3.52955e-05,-0.729999,-2.20123e-08
1763662701.8392177,-0.7199999999999998,0.05,0.0499998,3.6316e-05,-0.719994,-3.05133e-08
1763662703.26093,-0.7199999999999998,-0.05,-0.050006,-3.5139e-05,-0.719992,-2.06191e-08
1763662704.6826227,-0.7099999999999997,0.05,0.0499984,3.61456e-05,-0.710001,-2.91474e-08
1763662706.104831,-0.7099999999999997,-0.05,-0.0500035,-3.49671e-05,-0.71,-1.87525e-08
1763662707.5266712,-0.6999999999999997,0.05,0.0500013,3.60208e-05,-0.699993,-2.68424e-08
1763662708.9484534,-0.6999999999999997,-0.05,-0.0500023,-3.4767e-05,-0.699995,-1.73273e-08
1763662710.3705597,-0.6899999999999997,0.05,0.0500025,3.58309e-05,-0.690003,-2.48684e-08
1763662712.2081559,-0.6899999999999997,-0.05,-0.0499998,-3.45899e-05,-0.690004,-1.54784e-08
1763662714.045208,-0.6799999999999997,0.05,0.0499995,3.56626e-05,-0.679999,-2.31943e-08
1763662715.4667747,-0.6799999999999997,-0.05,-0.0500021,-3.44257e-05,-0.679994,-1.4145e-08
1763662716.889301,-0.6699999999999997,0.05,0.0499988,3.551e-05,-0.669989,-2.15586e-08
1763662718.3111537,-0.6699999999999997,-0.05,-0.0500033,-3.42492e-05,-0.669989,-1.30164e-08
1763662719.7332535,-0.6599999999999997,0.05,0.0500006,3.53229e-05,-0.660001,-1.95604e-08
