"timestamp","provided_gate_voltage","provided_channel_voltage","drain_voltage","drain_current","measured_gate_voltage","measured_gate_current"
"1771622470.6268497","-1.0","0.05","0.0499982","2.82009e-07","-0.999951","-4.91881e-06"
"1771622473.649776","-0.99","0.05","0.0499983","2.48386e-07","-0.98996","-4.92757e-06"
"1771622476.465574","-0.98","0.05","0.0500002","2.3097e-07","-0.979975","-4.90025e-06"
"1771622479.296536","-0.97","0.05","0.049999","2.25396e-07","-0.969971","-4.90472e-06"
"1771622482.1112785","-0.96","0.05","0.0499994","2.1337e-07","-0.959962","-4.85651e-06"
"1771622485.7738822","-0.95","0.05","0.0500011","1.99189e-07","-0.94997","-4.82231e-06"
"1771622488.6047142","-0.94","0.05","0.0500015","1.91174e-07","-0.939964","-4.78672e-06"
"1771622491.4515529","-0.9299999999999999","0.05","0.0499978","1.86817e-07","-0.929975","-4.75469e-06"
"1771622494.2984815","-0.9199999999999999","0.05","0.0499969","1.78e-07","-0.919967","-4.71276e-06"
"1771622497.1453207","-0.9099999999999999","0.05","0.0499987","1.77172e-07","-0.909981","-4.67405e-06"
"1771622500.4077213","-0.8999999999999999","0.05","0.049999","1.67595e-07","-0.899972","-4.63774e-06"
"1771622503.6703076","-0.8899999999999999","0.05","0.0499976","1.63805e-07","-0.889985","-4.56532e-06"
"1771622506.5174694","-0.8799999999999999","0.05","0.0499975","1.59169e-07","-0.879979","-4.53001e-06"
"1771622509.3633473","-0.8699999999999999","0.05","0.0499999","1.60141e-07","-0.869974","-4.47522e-06"
"1771622512.210848","-0.8599999999999999","0.05","0.0499995","1.59427e-07","-0.859984","-4.4319e-06"
"1771622515.0579262","-0.8499999999999999","0.05","0.0499985","1.57898e-07","-0.849977","-4.37707e-06"
"1771622518.7364388","-0.8399999999999999","0.05","0.0500015","1.53641e-07","-0.839986","-4.31777e-06"
"1771622521.5846763","-0.8299999999999998","0.05","0.0499999","1.54473e-07","-0.829978","-4.25866e-06"
"1771622524.4297843","-0.8199999999999998","0.05","0.0500005","1.55065e-07","-0.819995","-4.21437e-06"
"1771622527.2766972","-0.8099999999999998","0.05","0.0499988","1.50686e-07","-0.809986","-4.16198e-06"
"1771622530.123785","-0.7999999999999998","0.05","0.0500012","1.41411e-07","-0.799999","-4.10945e-06"
"1771622533.3864408","-0.7899999999999998","0.05","0.0499994","1.39495e-07","-0.789988","-4.05442e-06"
"1771622536.6487384","-0.7799999999999998","0.05","0.0499986","1.40012e-07","-0.78","-4.01982e-06"
"1771622539.4956844","-0.7699999999999998","0.05","0.0499956","1.31618e-07","-0.769994","-3.97108e-06"
"1771622542.3430152","-0.7599999999999998","0.05","0.0499967","1.26389e-07","-0.759993","-3.92437e-06"
"1771622545.1893256","-0.7499999999999998","0.05","0.0499983","1.27112e-07","-0.750004","-3.90831e-06"
"1771622548.0369122","-0.7399999999999998","0.05","0.0499973","1.23877e-07","-0.739996","-3.86826e-06"
"1771622551.7144773","-0.7299999999999998","0.05","0.0499996","1.21842e-07","-0.730006","-3.83626e-06"
"1771622555.0253348","-0.7199999999999998","0.05","0.050002","1.17973e-07","-0.72","-3.79126e-06"
"1771622558.144245","-0.7099999999999997","0.05","0.0499972","1.18696e-07","-0.71001","-3.73481e-06"
"1771622561.455094","-0.6999999999999997","0.05","0.0499941","1.17488e-07","-0.699997","-3.68881e-06"
"1771622564.765536","-0.6899999999999997","0.05","0.0499954","1.16376e-07","-0.69001","-3.61174e-06"
"1771622568.908053","-0.6799999999999997","0.05","0.0499977","1.11975e-07","-0.680003","-3.55964e-06"
"1771622572.218631","-0.6699999999999997","0.05","0.0499951","1.12827e-07","-0.669997","-3.50369e-06"
"1771622575.528553","-0.6599999999999997","0.05","0.0499952","1.12279e-07","-0.660005","-3.43537e-06"
"1771622578.8394969","-0.6499999999999997","0.05","0.0499962","1.05396e-07","-0.65","-3.39109e-06"
"1771622582.5661886","-0.6399999999999997","0.05","0.049996","1.08356e-07","-0.640009","-3.32817e-06"
"1771622586.2925706","-0.6299999999999997","0.05","0.0499968","1.04867e-07","-0.630005","-3.24582e-06"
"1771622589.6033638","-0.6199999999999997","0.05","0.0499941","1.02842e-07","-0.620013","-3.18953e-06"
"1771622592.9138598","-0.6099999999999997","0.05","0.0499943","1.0333e-07","-0.610007","-3.13672e-06"
"1771622596.2246044","-0.5999999999999996","0.05","0.049995","1.00904e-07","-0.600016","-3.07201e-06"
"1771622600.3668747","-0.5899999999999996","0.05","0.049997","9.68501e-08","-0.590011","-3.01218e-06"
"1771622603.2294216","-0.5799999999999996","0.05","0.0499964","9.65247e-08","-0.580002","-2.94811e-06"
"1771622606.0765054","-0.5699999999999996","0.05","0.0499978","9.60039e-08","-0.570011","-2.88772e-06"
"1771622608.9225879","-0.5599999999999996","0.05","0.0499962","9.27657e-08","-0.560004","-2.84367e-06"
"1771622611.7701695","-0.5499999999999996","0.05","0.0499954","9.10123e-08","-0.550016","-2.78552e-06"
"1771622615.0328028","-0.5399999999999996","0.05","0.0499975","9.0517e-08","-0.540006","-2.71548e-06"
"1771622618.295473","-0.5299999999999996","0.05","0.0499928","9.01969e-08","-0.530015","-2.64963e-06"
"1771622621.1423352","-0.5199999999999996","0.05","0.0499987","8.91327e-08","-0.520007","-2.59844e-06"
"1771622623.9888806","-0.5099999999999996","0.05","0.0499975","8.8216e-08","-0.510015","-2.55643e-06"
"1771622626.835636","-0.49999999999999956","0.05","0.0499986","8.4783e-08","-0.500007","-2.50397e-06"
"1771622629.6825593","-0.48999999999999955","0.05","0.0499941","8.43778e-08","-0.490015","-2.42914e-06"
"1771622633.3772442","-0.47999999999999954","0.05","0.049996","8.17555e-08","-0.480014","-2.38185e-06"
"1771622636.2244725","-0.46999999999999953","0.05","0.0499923","8.1056e-08","-0.470004","-2.33697e-06"
"1771622639.0709832","-0.4599999999999995","0.05","0.0499941","8.06507e-08","-0.460016","-2.26971e-06"
"1771622641.9179919","-0.4499999999999995","0.05","0.0499946","8.10759e-08","-0.450007","-2.22817e-06"
"1771622644.7649255","-0.4399999999999995","0.05","0.0499958","7.93623e-08","-0.440015","-2.18458e-06"
"1771622648.027618","-0.4299999999999995","0.05","0.0499943","7.66693e-08","-0.43001","-2.13505e-06"
