timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current
1771618362.430774,-1.0,0.05,0.0499968,1.60596e-07,-0.999952,-3.2512e-06
1771618364.0459337,-1.0,-0.05,-0.0500104,1.30354e-07,-0.999967,-3.283e-06
1771618365.4693763,-0.99,0.05,0.0499963,1.45283e-07,-0.98996,-3.28616e-06
1771618366.8767936,-0.99,-0.05,-0.0500057,1.22905e-07,-0.989962,-3.28855e-06
1771618368.30037,-0.98,0.05,0.0499988,1.37068e-07,-0.979974,-3.29816e-06
1771618369.7245295,-0.98,-0.05,-0.0500075,1.20518e-07,-0.979975,-3.28798e-06
1771618371.131384,-0.97,0.05,0.0500006,1.34418e-07,-0.969967,-3.2804e-06
1771618372.5386877,-0.97,-0.05,-0.0500044,1.15057e-07,-0.969967,-3.2879e-06
1771618373.9463356,-0.96,0.05,0.0499984,1.27762e-07,-0.95996,-3.29516e-06
1771618375.7691767,-0.96,-0.05,-0.0500028,1.12053e-07,-0.959962,-3.36029e-06
1771618377.5926287,-0.95,0.05,0.0499961,1.24525e-07,-0.949969,-3.33712e-06
1771618378.999992,-0.95,-0.05,-0.0500071,1.09841e-07,-0.949969,-3.30249e-06
1771618380.40777,-0.94,0.05,0.0499991,1.24689e-07,-0.939962,-3.27046e-06
1771618381.8148472,-0.94,-0.05,-0.0500067,1.07016e-07,-0.939963,-3.24254e-06
1771618383.2383885,-0.9299999999999999,0.05,0.0499991,1.20763e-07,-0.929972,-3.22554e-06
1771618384.6768773,-0.9299999999999999,-0.05,-0.0500093,1.02943e-07,-0.92997,-3.1895e-06
1771618386.101292,-0.9199999999999999,0.05,0.049996,1.18435e-07,-0.919963,-3.23983e-06
1771618387.5246089,-0.9199999999999999,-0.05,-0.0500072,1.02019e-07,-0.919965,-3.24546e-06
1771618388.9480798,-0.9099999999999999,0.05,0.05,1.13725e-07,-0.90998,-3.20141e-06
1771618390.3713274,-0.9099999999999999,-0.05,-0.0500031,1.01995e-07,-0.909982,-3.25547e-06
1771618392.2105763,-0.8999999999999999,0.05,0.0499967,1.13821e-07,-0.899976,-3.21401e-06
1771618394.0497463,-0.8999999999999999,-0.05,-0.0500065,9.88548e-08,-0.899974,-3.21071e-06
1771618395.7556372,-0.8899999999999999,0.05,0.0499958,1.12036e-07,-0.889986,-3.17504e-06
1771618397.3924043,-0.8899999999999999,-0.05,-0.0500069,9.8184e-08,-0.889986,-3.15703e-06
1771618399.0719345,-0.8799999999999999,0.05,0.049997,1.11407e-07,-0.879979,-3.13929e-06
1771618400.7034905,-0.8799999999999999,-0.05,-0.050006,9.68304e-08,-0.879978,-3.12713e-06
1771618402.382695,-0.8699999999999999,0.05,0.0499989,1.09691e-07,-0.869973,-3.14564e-06
1771618404.0141294,-0.8699999999999999,-0.05,-0.0500072,9.57323e-08,-0.869972,-3.12115e-06
1771618405.693133,-0.8599999999999999,0.05,0.0499962,1.07693e-07,-0.859981,-3.07092e-06
1771618407.7403462,-0.8599999999999999,-0.05,-0.0500062,9.36722e-08,-0.85998,-3.07888e-06
1771618409.835765,-0.8499999999999999,0.05,0.0499942,1.0578e-07,-0.849973,-3.05359e-06
1771618411.4656096,-0.8499999999999999,-0.05,-0.0500077,9.26192e-08,-0.849973,-3.02984e-06
1771618413.1454308,-0.8399999999999999,0.05,0.0499948,1.05085e-07,-0.839984,-2.98021e-06
1771618414.7773128,-0.8399999999999999,-0.05,-0.0500082,9.2042e-08,-0.839983,-2.96344e-06
1771618416.455839,-0.8299999999999998,0.05,0.0499939,1.01861e-07,-0.829977,-2.93475e-06
1771618418.0878675,-0.8299999999999998,-0.05,-0.050006,8.77384e-08,-0.829975,-2.91861e-06
1771618419.767159,-0.8199999999999998,0.05,0.0499947,1.02491e-07,-0.81999,-2.88674e-06
1771618421.3988755,-0.8199999999999998,-0.05,-0.0500061,8.9743e-08,-0.819994,-2.89254e-06
1771618423.49364,-0.8099999999999998,0.05,0.0499938,1.01536e-07,-0.809987,-2.85858e-06
1771618425.540803,-0.8099999999999998,-0.05,-0.0500093,8.7005e-08,-0.809987,-2.84705e-06
