timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current
1771619147.965573,-1.0,0.05,0.0499994,1.70919e-07,-0.999953,-3.94955e-06
1771619149.580978,-1.0,-0.05,-0.0500063,1.39059e-07,-0.999971,-4.02862e-06
1771619150.9885354,-0.99,0.05,0.0500007,1.58043e-07,-0.989969,-4.11643e-06
1771619152.3961802,-0.99,-0.05,-0.0500045,1.30836e-07,-0.989967,-4.09804e-06
1771619153.8034186,-0.98,0.05,0.0500002,1.46348e-07,-0.979977,-3.84413e-06
1771619155.226912,-0.98,-0.05,-0.0500073,1.24418e-07,-0.979979,-4.10933e-06
1771619156.65043,-0.97,0.05,0.0499984,1.40734e-07,-0.969973,-4.06482e-06
1771619158.0581274,-0.97,-0.05,-0.0500055,1.19842e-07,-0.969971,-4.12279e-06
1771619159.480433,-0.96,0.05,0.05,1.34602e-07,-0.959958,-4.09737e-06
1771619161.3205552,-0.96,-0.05,-0.0500056,1.17775e-07,-0.959962,-4.06814e-06
1771619163.1439517,-0.95,0.05,0.05,1.31232e-07,-0.94997,-3.98806e-06
1771619164.5510628,-0.95,-0.05,-0.0500061,1.15007e-07,-0.949969,-4.10483e-06
1771619165.9588227,-0.94,0.05,0.0499965,1.28745e-07,-0.939962,-4.01693e-06
1771619167.3657038,-0.94,-0.05,-0.0500057,1.13945e-07,-0.939964,-3.9591e-06
1771619168.7890534,-0.9299999999999999,0.05,0.0499995,1.26187e-07,-0.929974,-3.85207e-06
1771619170.2132127,-0.9299999999999999,-0.05,-0.0500062,1.1025e-07,-0.929972,-3.83063e-06
1771619171.6364574,-0.9199999999999999,0.05,0.0499994,1.20761e-07,-0.919964,-3.87583e-06
1771619173.0600119,-0.9199999999999999,-0.05,-0.0500071,1.04969e-07,-0.919966,-3.91491e-06
1771619174.483381,-0.9099999999999999,0.05,0.0499984,1.1911e-07,-0.909982,-3.87817e-06
1771619175.9073758,-0.9099999999999999,-0.05,-0.0500119,1.03312e-07,-0.909984,-3.86923e-06
1771619177.7462192,-0.8999999999999999,0.05,0.0499978,1.17761e-07,-0.899977,-3.85056e-06
1771619179.586085,-0.8999999999999999,-0.05,-0.0500075,1.02078e-07,-0.899975,-3.82986e-06
