timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current
1771867706.2660534,-1.0,0.05,0.0500057,1.82486e-10,-0.999969,-1.84706e-07
1771867707.8967206,-1.0,-0.05,-0.050004,9.28164e-11,-0.999967,-1.89007e-07
1771867709.322745,-0.99,0.05,0.0500021,2.89202e-10,-0.989961,-1.84631e-07
1771867710.7288911,-0.99,-0.05,-0.0500045,-8.1408e-11,-0.989962,-1.79866e-07
1771867712.1365833,-0.98,0.05,0.0500012,2.47371e-10,-0.979974,-1.72985e-07
1771867713.559828,-0.98,-0.05,-0.0500041,-7.73191e-11,-0.979974,-1.66618e-07
1771867714.9831164,-0.97,0.05,0.0500013,2.40207e-10,-0.969965,-1.66548e-07
1771867716.3904572,-0.97,-0.05,-0.0500043,-5.75066e-11,-0.969963,-1.64436e-07
1771867718.2135613,-0.96,0.05,0.0500036,1.16098e-10,-0.959958,-1.63746e-07
1771867720.0362482,-0.96,-0.05,-0.0500057,6.2573e-11,-0.959958,-1.58164e-07
1771867721.4442654,-0.95,0.05,0.0500037,5.3966e-11,-0.94997,-1.5871e-07
1771867722.8519597,-0.95,-0.05,-0.0500027,1.5291e-10,-0.949972,-1.58266e-07
1771867724.2750747,-0.94,0.05,0.0500034,-2.77042e-11,-0.939966,-1.48147e-07
1771867725.682804,-0.94,-0.05,-0.0500048,1.60611e-10,-0.939964,-1.48798e-07
1771867727.105801,-0.9299999999999999,0.05,0.0500014,-4.48704e-11,-0.929977,-1.44124e-07
1771867728.5292242,-0.9299999999999999,-0.05,-0.0500049,1.45173e-10,-0.929977,-1.38078e-07
1771867729.9556963,-0.9199999999999999,0.05,0.0500015,3.72171e-11,-0.919973,-1.4588e-07
1771867731.376029,-0.9199999999999999,-0.05,-0.0500036,-4.673e-12,-0.919971,-1.44911e-07
1771867732.7994878,-0.9099999999999999,0.05,0.0500024,1.46854e-10,-0.909983,-1.43812e-07
1771867734.638816,-0.9099999999999999,-0.05,-0.0500036,-7.73787e-11,-0.909984,-1.55182e-07
1771867736.4937859,-0.8999999999999999,0.05,0.0500036,1.90759e-10,-0.899977,-1.41825e-07
1771867737.9173677,-0.8999999999999999,-0.05,-0.0500044,-2.74897e-11,-0.899975,-1.38438e-07
1771867739.3410895,-0.8899999999999999,0.05,0.0500041,8.91805e-11,-0.889989,-1.38993e-07
1771867740.7642624,-0.8899999999999999,-0.05,-0.0500039,1.00863e-10,-0.88999,-1.35929e-07
1771867742.1874962,-0.8799999999999999,0.05,0.050001,-5.04851e-11,-0.879981,-1.35035e-07
1771867743.610811,-0.8799999999999999,-0.05,-0.0500031,1.57738e-10,-0.87998,-1.31994e-07
1771867745.0342925,-0.8699999999999999,0.05,0.0500037,-2.55704e-11,-0.869973,-1.33271e-07
1771867746.4577184,-0.8699999999999999,-0.05,-0.0500063,6.56724e-11,-0.869974,-1.27571e-07
1771867747.8810804,-0.8599999999999999,0.05,0.0500051,8.23021e-11,-0.859979,-1.27123e-07
1771867749.304454,-0.8599999999999999,-0.05,-0.0500026,-6.82116e-11,-0.859983,-1.26248e-07
1771867751.1436892,-0.8499999999999999,0.05,0.0500032,2.2819e-10,-0.849975,-1.22688e-07
1771867752.9829926,-0.8499999999999999,-0.05,-0.0500013,-1.37842e-10,-0.849975,-1.24408e-07
1771867754.4063857,-0.8399999999999999,0.05,0.0500041,1.84464e-10,-0.839988,-1.19349e-07
1771867755.829703,-0.8399999999999999,-0.05,-0.0500022,-6.35982e-11,-0.839989,-1.20977e-07
1771867757.2527802,-0.8299999999999998,0.05,0.0500059,8.26716e-11,-0.829984,-1.21268e-07
1771867758.6763964,-0.8299999999999998,-0.05,-0.0500037,4.82082e-11,-0.829983,-1.1826e-07
1771867760.0997784,-0.8199999999999998,0.05,0.0500041,-2.89321e-11,-0.819998,-1.12988e-07
1771867761.5234163,-0.8199999999999998,-0.05,-0.0499997,1.44136e-10,-0.819998,-1.14122e-07
1771867762.9466217,-0.8099999999999998,0.05,0.0500056,-6.91652e-11,-0.809991,-1.11242e-07
1771867764.3701184,-0.8099999999999998,-0.05,-0.0500018,1.2126e-10,-0.809987,-1.10143e-07
1771867765.7937162,-0.7999999999999998,0.05,0.0500021,-5.74589e-12,-0.799997,-1.10677e-07
1771867767.6324022,-0.7999999999999998,-0.05,-0.0500023,-1.85668e-10,-0.799998,-1.07874e-07
1771867769.47192,-0.7899999999999998,0.05,0.050004,-2.86996e-10,-0.789989,-1.04002e-07
1771867770.895071,-0.7899999999999998,-0.05,-0.0500025,1.59061e-10,-0.789987,-1.05646e-07
1771867772.3182576,-0.7799999999999998,0.05,0.0500033,2.03037e-10,-0.780006,-1.02506e-07
1771867774.2057621,-0.7799999999999998,-0.05,-0.0500033,-1.02341e-10,-0.780003,-1.06481e-07
1771867775.62896,-0.7699999999999998,0.05,0.0500006,1.18721e-10,-0.769997,-1.05726e-07
1771867777.053073,-0.7699999999999998,-0.05,-0.0499999,5.2762e-11,-0.769997,-9.89498e-08
1771867778.7316384,-0.7599999999999998,0.05,0.0500041,2.05827e-10,-0.759989,-9.69701e-08
1771867780.1553245,-0.7599999999999998,-0.05,-0.0500007,-1.30701e-10,-0.759989,-9.52208e-08
1771867781.5786762,-0.7499999999999998,0.05,0.0500021,1.57595e-10,-0.75,-9.2941e-08
1771867783.4178376,-0.7499999999999998,-0.05,-0.0500014,2.03013e-11,-0.749998,-9.39691e-08
1771867785.2570798,-0.7399999999999998,0.05,0.0500031,-1.16348e-11,-0.739989,-9.06382e-08
1771867786.6804185,-0.7399999999999998,-0.05,-0.0500035,-3.48067e-10,-0.739987,-9.05302e-08
1771867788.1041877,-0.7299999999999998,0.05,0.0499999,-4.28319e-11,-0.730001,-8.85754e-08
1771867789.5276222,-0.7299999999999998,-0.05,-0.0500015,8.99076e-11,-0.730001,-8.66074e-08
1771867790.950391,-0.7199999999999998,0.05,0.0500039,-6.56724e-11,-0.719994,-8.50687e-08
1771867792.3733916,-0.7199999999999998,-0.05,-0.0500044,8.94785e-11,-0.719997,-8.95583e-08
1771867793.7976763,-0.7099999999999997,0.05,0.05,-3.12328e-12,-0.710006,-8.85168e-08
1771867795.221132,-0.7099999999999997,-0.05,-0.0500056,1.09196e-11,-0.710002,-8.83966e-08
1771867796.644281,-0.6999999999999997,0.05,0.0500024,1.1704e-10,-0.699998,-8.72606e-08
1771867798.0835993,-0.6999999999999997,-0.05,-0.0500028,-1.32596e-10,-0.699998,-8.24605e-08
1771867799.92313,-0.6899999999999997,0.05,0.0500029,1.95193e-10,-0.690008,-7.47401e-08
1771867801.7621794,-0.6899999999999997,-0.05,-0.0500052,-9.94444e-11,-0.690007,-7.64177e-08
1771867803.1859305,-0.6799999999999997,0.05,0.0500046,1.64938e-10,-0.680001,-6.96327e-08
1771867804.6090083,-0.6799999999999997,-0.05,-0.0500038,-9.26256e-12,-0.680002,-6.8418e-08
1771867806.0323274,-0.6699999999999997,0.05,0.0500037,2.88963e-11,-0.669995,-6.88543e-08
1771867807.4557571,-0.6699999999999997,-0.05,-0.0500029,6.93202e-11,-0.669995,-7.32383e-08
1771867808.8781035,-0.6599999999999997,0.05,0.0500035,-6.48499e-11,-0.660006,-7.04072e-08
1771867810.3022335,-0.6599999999999997,-0.05,-0.0500012,1.23298e-10,-0.660004,-7.16192e-08
1771867811.7256904,-0.6499999999999997,0.05,0.0500005,-6.11782e-11,-0.65,-6.79477e-08
1771867813.1493607,-0.6499999999999997,-0.05,-0.0500041,6.6185e-11,-0.649995,-6.95752e-08
1771867814.5724864,-0.6399999999999997,0.05,0.050001,-2.98023e-13,-0.640005,-6.78706e-08
1771867816.4121122,-0.6399999999999997,-0.05,-0.0500022,-4.81844e-11,-0.640005,-6.89072e-08
