"timestamp","provided_gate_voltage","provided_channel_voltage","drain_voltage","drain_current","measured_gate_voltage","measured_gate_current"
"1771867706.2660534","-1.0","0.05","0.0500057","1.82486e-10","-0.999969","-1.84706e-07"
"1771867709.322745","-0.99","0.05","0.0500021","2.89202e-10","-0.989961","-1.84631e-07"
"1771867712.1365833","-0.98","0.05","0.0500012","2.47371e-10","-0.979974","-1.72985e-07"
"1771867714.9831164","-0.97","0.05","0.0500013","2.40207e-10","-0.969965","-1.66548e-07"
"1771867718.2135613","-0.96","0.05","0.0500036","1.16098e-10","-0.959958","-1.63746e-07"
"1771867721.4442654","-0.95","0.05","0.0500037","5.3966e-11","-0.94997","-1.5871e-07"
"1771867724.2750747","-0.94","0.05","0.0500034","-2.77042e-11","-0.939966","-1.48147e-07"
"1771867727.105801","-0.9299999999999999","0.05","0.0500014","-4.48704e-11","-0.929977","-1.44124e-07"
"1771867729.9556963","-0.9199999999999999","0.05","0.0500015","3.72171e-11","-0.919973","-1.4588e-07"
"1771867732.7994878","-0.9099999999999999","0.05","0.0500024","1.46854e-10","-0.909983","-1.43812e-07"
"1771867736.4937859","-0.8999999999999999","0.05","0.0500036","1.90759e-10","-0.899977","-1.41825e-07"
"1771867739.3410895","-0.8899999999999999","0.05","0.0500041","8.91805e-11","-0.889989","-1.38993e-07"
"1771867742.1874962","-0.8799999999999999","0.05","0.050001","-5.04851e-11","-0.879981","-1.35035e-07"
"1771867745.0342925","-0.8699999999999999","0.05","0.0500037","-2.55704e-11","-0.869973","-1.33271e-07"
"1771867747.8810804","-0.8599999999999999","0.05","0.0500051","8.23021e-11","-0.859979","-1.27123e-07"
"1771867751.1436892","-0.8499999999999999","0.05","0.0500032","2.2819e-10","-0.849975","-1.22688e-07"
"1771867754.4063857","-0.8399999999999999","0.05","0.0500041","1.84464e-10","-0.839988","-1.19349e-07"
"1771867757.2527802","-0.8299999999999998","0.05","0.0500059","8.26716e-11","-0.829984","-1.21268e-07"
"1771867760.0997784","-0.8199999999999998","0.05","0.0500041","-2.89321e-11","-0.819998","-1.12988e-07"
"1771867762.9466217","-0.8099999999999998","0.05","0.0500056","-6.91652e-11","-0.809991","-1.11242e-07"
"1771867765.7937162","-0.7999999999999998","0.05","0.0500021","-5.74589e-12","-0.799997","-1.10677e-07"
"1771867769.47192","-0.7899999999999998","0.05","0.050004","-2.86996e-10","-0.789989","-1.04002e-07"
"1771867772.3182576","-0.7799999999999998","0.05","0.0500033","2.03037e-10","-0.780006","-1.02506e-07"
"1771867775.62896","-0.7699999999999998","0.05","0.0500006","1.18721e-10","-0.769997","-1.05726e-07"
"1771867778.7316384","-0.7599999999999998","0.05","0.0500041","2.05827e-10","-0.759989","-9.69701e-08"
"1771867781.5786762","-0.7499999999999998","0.05","0.0500021","1.57595e-10","-0.75","-9.2941e-08"
"1771867785.2570798","-0.7399999999999998","0.05","0.0500031","-1.16348e-11","-0.739989","-9.06382e-08"
"1771867788.1041877","-0.7299999999999998","0.05","0.0499999","-4.28319e-11","-0.730001","-8.85754e-08"
"1771867790.950391","-0.7199999999999998","0.05","0.0500039","-6.56724e-11","-0.719994","-8.50687e-08"
"1771867793.7976763","-0.7099999999999997","0.05","0.05","-3.12328e-12","-0.710006","-8.85168e-08"
"1771867796.644281","-0.6999999999999997","0.05","0.0500024","1.1704e-10","-0.699998","-8.72606e-08"
