"timestamp","provided_gate_voltage","provided_channel_voltage","drain_voltage","drain_current","measured_gate_voltage","measured_gate_current"
"1771872649.098312","-1.0","0.05","0.0499998","2.05553e-08","-0.999972","-1.27226e-07"
"1771872652.1243174","-0.99","0.05","0.049998","1.28361e-08","-0.989961","-1.26249e-07"
"1771872654.9736314","-0.98","0.05","0.0499982","1.10051e-08","-0.979976","-1.22319e-07"
"1771872657.8159006","-0.97","0.05","0.0499986","9.65794e-09","-0.969972","-1.12227e-07"
"1771872660.6614654","-0.96","0.05","0.0499974","8.53968e-09","-0.959963","-1.16073e-07"
"1771872664.3084009","-0.95","0.05","0.0499988","7.80112e-09","-0.949976","-1.12549e-07"
"1771872667.1396768","-0.94","0.05","0.0499997","7.48754e-09","-0.939969","-1.18647e-07"
"1771872669.9691072","-0.9299999999999999","0.05","0.0499989","7.45722e-09","-0.929976","-1.11848e-07"
"1771872672.8168573","-0.9199999999999999","0.05","0.0499965","7.84344e-09","-0.919972","-1.1238e-07"
"1771872675.6796873","-0.9099999999999999","0.05","0.049997","7.22766e-09","-0.909984","-1.11968e-07"
"1771872678.9413936","-0.8999999999999999","0.05","0.0499959","6.52205e-09","-0.899979","-1.12005e-07"
"1771872682.2047791","-0.8899999999999999","0.05","0.0499985","5.68242e-09","-0.889989","-1.08143e-07"
"1771872685.0507882","-0.8799999999999999","0.05","0.0499988","6.14058e-09","-0.87998","-1.07546e-07"
"1771872687.9143033","-0.8699999999999999","0.05","0.0499993","6.19545e-09","-0.869978","-1.19725e-07"
"1771872690.7602806","-0.8599999999999999","0.05","0.0499949","5.35463e-09","-0.859988","-1.11335e-07"
"1771872693.60817","-0.8499999999999999","0.05","0.0499982","4.75934e-09","-0.849979","-1.11058e-07"
"1771872697.2868667","-0.8399999999999999","0.05","0.0499952","4.95888e-09","-0.839994","-1.11781e-07"
"1771872700.1333723","-0.8299999999999998","0.05","0.0499965","5.19063e-09","-0.829987","-1.04373e-07"
"1771872702.9799423","-0.8199999999999998","0.05","0.0500023","5.2539e-09","-0.819998","-1.02378e-07"
"1771872705.8264217","-0.8099999999999998","0.05","0.0499979","4.82808e-09","-0.809988","-1.03611e-07"
"1771872708.9294405","-0.7999999999999998","0.05","0.0499977","4.36301e-09","-0.799999","-9.93717e-08"
"1771872712.1908872","-0.7899999999999998","0.05","0.0499987","4.32358e-09","-0.789985","-9.4242e-08"
"1771872715.4541643","-0.7799999999999998","0.05","0.0500013","4.04708e-09","-0.779996","-9.63693e-08"
"1771872718.3012996","-0.7699999999999998","0.05","0.0499968","4.13728e-09","-0.769994","-9.31689e-08"
"1771872721.1470258","-0.7599999999999998","0.05","0.049999","5.20992e-09","-0.75999","-9.56022e-08"
"1771872723.9936676","-0.7499999999999998","0.05","0.0499988","3.92779e-09","-0.749999","-8.76222e-08"
"1771872726.8412957","-0.7399999999999998","0.05","0.049998","4.00547e-09","-0.739987","-8.84129e-08"
"1771872730.5197258","-0.7299999999999998","0.05","0.0499993","3.72078e-09","-0.730005","-8.9113e-08"
"1771872733.365869","-0.7199999999999998","0.05","0.049996","3.68887e-09","-0.719995","-9.02038e-08"
"1771872736.2133296","-0.7099999999999997","0.05","0.0499992","3.29673e-09","-0.710002","-8.49738e-08"
"1771872739.0601428","-0.6999999999999997","0.05","0.0500007","3.49036e-09","-0.699997","-8.19837e-08"
"1771872741.923163","-0.6899999999999997","0.05","0.0499979","3.74833e-09","-0.690008","-8.31154e-08"
"1771872745.1860144","-0.6799999999999997","0.05","0.049996","2.80724e-09","-0.680003","-7.92989e-08"
"1771872748.44741","-0.6699999999999997","0.05","0.0499964","2.98246e-09","-0.669995","-7.64552e-08"
"1771872751.294909","-0.6599999999999997","0.05","0.0499975","2.50509e-09","-0.660007","-7.4415e-08"
"1771872754.142012","-0.6499999999999997","0.05","0.0499987","2.92884e-09","-0.65","-7.37568e-08"
"1771872756.9880373","-0.6399999999999997","0.05","0.0500012","3.29609e-09","-0.640007","-7.0968e-08"
"1771872759.8353922","-0.6299999999999997","0.05","0.0500027","2.44998e-09","-0.630002","-7.09434e-08"
"1771872763.5133865","-0.6199999999999997","0.05","0.0500014","2.27389e-09","-0.620012","-7.07888e-08"
"1771872766.359812","-0.6099999999999997","0.05","0.0499983","2.14295e-09","-0.610006","-6.96497e-08"
"1771872769.20735","-0.5999999999999996","0.05","0.0499975","1.15637e-09","-0.600019","-6.99656e-08"
"1771872772.0694938","-0.5899999999999996","0.05","0.0500055","1.34702e-09","-0.590011","-5.67439e-08"
"1771872774.9163463","-0.5799999999999996","0.05","0.0500029","2.29619e-09","-0.580004","-5.58743e-08"
"1771872778.1786275","-0.5699999999999996","0.05","0.0500016","2.06208e-09","-0.570013","-5.66875e-08"
