timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current
1771875442.1184251,-1.0,0.05,0.050002,2.17577e-06,-0.999944,-2.20251e-06
1771875443.9410734,-1.0,-0.05,-0.0500025,1.87369e-06,-0.999953,-1.88667e-06
1771875445.3486311,-0.99,0.05,0.05,2.17754e-06,-0.989946,-2.18983e-06
1771875446.756261,-0.99,-0.05,-0.0500047,1.85553e-06,-0.989943,-1.86362e-06
1771875448.1634185,-0.98,0.05,0.0500025,2.15413e-06,-0.979955,-2.16626e-06
1771875449.5711854,-0.98,-0.05,-0.0500036,1.8307e-06,-0.97996,-1.84154e-06
1771875450.9932666,-0.97,0.05,0.0500005,2.12592e-06,-0.969955,-2.13691e-06
1771875452.4021742,-0.97,-0.05,-0.050003,1.80239e-06,-0.969958,-1.8137e-06
1771875454.2238772,-0.96,0.05,0.0499978,2.09606e-06,-0.959953,-2.11042e-06
1771875456.0481827,-0.96,-0.05,-0.0500055,1.77724e-06,-0.959956,-1.78441e-06
1771875457.4565518,-0.95,0.05,0.0500025,2.06521e-06,-0.949965,-2.07539e-06
1771875458.8795629,-0.95,-0.05,-0.0500005,1.7488e-06,-0.949964,-1.75758e-06
1771875460.2861714,-0.94,0.05,0.0500053,2.03667e-06,-0.93996,-2.04835e-06
1771875461.7092774,-0.94,-0.05,-0.0500028,1.72083e-06,-0.939956,-1.7279e-06
1771875463.1338704,-0.9299999999999999,0.05,0.0500011,2.01032e-06,-0.929966,-2.01948e-06
1771875464.5555127,-0.9299999999999999,-0.05,-0.0500057,1.69008e-06,-0.929965,-1.69742e-06
1771875465.980099,-0.9199999999999999,0.05,0.0499999,1.97751e-06,-0.91996,-1.98697e-06
1771875467.4032037,-0.9199999999999999,-0.05,-0.050006,1.6644e-06,-0.919962,-1.67372e-06
1771875468.8264349,-0.9099999999999999,0.05,0.0500026,1.94984e-06,-0.909974,-1.96152e-06
1771875470.6661692,-0.9099999999999999,-0.05,-0.0500047,1.63713e-06,-0.909975,-1.64604e-06
1771875472.5055315,-0.8999999999999999,0.05,0.050001,1.92147e-06,-0.899969,-1.93128e-06
1771875473.928483,-0.8999999999999999,-0.05,-0.050001,1.61127e-06,-0.899969,-1.61955e-06
1771875475.3514712,-0.8899999999999999,0.05,0.0500041,1.8946e-06,-0.889981,-1.90355e-06
1771875476.7750711,-0.8899999999999999,-0.05,-0.0499999,1.58254e-06,-0.88998,-1.58801e-06
1771875478.1983786,-0.8799999999999999,0.05,0.0499999,1.85496e-06,-0.879975,-1.8663e-06
1771875479.6223102,-0.8799999999999999,-0.05,-0.0500037,1.5489e-06,-0.879976,-1.55755e-06
1771875481.0451696,-0.8699999999999999,0.05,0.050002,1.82598e-06,-0.869964,-1.83564e-06
1771875482.4687724,-0.8699999999999999,-0.05,-0.0500048,1.52164e-06,-0.869964,-1.52673e-06
1771875483.8921523,-0.8599999999999999,0.05,0.0500006,1.79633e-06,-0.859974,-1.80389e-06
1771875485.3153248,-0.8599999999999999,-0.05,-0.0500039,1.49187e-06,-0.859972,-1.49916e-06
1771875487.1551645,-0.8499999999999999,0.05,0.0499988,1.76738e-06,-0.849966,-1.77462e-06
1771875488.993029,-0.8499999999999999,-0.05,-0.0500039,1.4616e-06,-0.849968,-1.4703e-06
1771875490.4173195,-0.8399999999999999,0.05,0.0500005,1.73341e-06,-0.839979,-1.74212e-06
1771875491.8399725,-0.8399999999999999,-0.05,-0.0500046,1.4326e-06,-0.839979,-1.43962e-06
1771875493.2642388,-0.8299999999999998,0.05,0.0500018,1.70099e-06,-0.829978,-1.70853e-06
1771875494.7026596,-0.8299999999999998,-0.05,-0.0500008,1.40297e-06,-0.829976,-1.40986e-06
1771875496.1258302,-0.8199999999999998,0.05,0.049999,1.67056e-06,-0.819985,-1.68005e-06
1771875497.5499384,-0.8199999999999998,-0.05,-0.0500023,1.3756e-06,-0.819984,-1.38142e-06
1771875498.9738228,-0.8099999999999998,0.05,0.0499996,1.63917e-06,-0.809979,-1.64777e-06
1771875500.3978622,-0.8099999999999998,-0.05,-0.0500009,1.34591e-06,-0.809978,-1.35335e-06
1771875501.8203523,-0.7999999999999998,0.05,0.0500044,1.60578e-06,-0.799991,-1.61433e-06
1771875503.6595247,-0.7999999999999998,-0.05,-0.0500014,1.31699e-06,-0.799991,-1.32407e-06
1771875505.4986823,-0.7899999999999998,0.05,0.0500051,1.58022e-06,-0.789983,-1.58788e-06
1771875506.9222383,-0.7899999999999998,-0.05,-0.0500018,1.28957e-06,-0.789985,-1.29645e-06
1771875508.345492,-0.7799999999999998,0.05,0.0500016,1.54929e-06,-0.779992,-1.55907e-06
1771875509.7688763,-0.7799999999999998,-0.05,-0.0500019,1.26437e-06,-0.779992,-1.2711e-06
1771875511.1923358,-0.7699999999999998,0.05,0.0500027,1.5206e-06,-0.769985,-1.52721e-06
1771875512.6158776,-0.7699999999999998,-0.05,-0.0500044,1.23762e-06,-0.769989,-1.24633e-06
1771875514.040214,-0.7599999999999998,0.05,0.0500008,1.48877e-06,-0.75998,-1.49931e-06
1771875515.4617543,-0.7599999999999998,-0.05,-0.0500015,1.20857e-06,-0.759979,-1.21529e-06
1771875516.885949,-0.7499999999999998,0.05,0.0500031,1.46352e-06,-0.749993,-1.47186e-06
1771875518.3090794,-0.7499999999999998,-0.05,-0.0500012,1.1845e-06,-0.749992,-1.19116e-06
1771875520.1484363,-0.7399999999999998,0.05,0.0500027,1.43664e-06,-0.739984,-1.44426e-06
1771875521.98787,-0.7399999999999998,-0.05,-0.0500019,1.15657e-06,-0.739984,-1.16433e-06
1771875523.4113328,-0.7299999999999998,0.05,0.0500028,1.41077e-06,-0.729995,-1.41578e-06
1771875524.834728,-0.7299999999999998,-0.05,-0.0499995,1.13307e-06,-0.729997,-1.13894e-06
1771875526.2578182,-0.7199999999999998,0.05,0.0500033,1.38084e-06,-0.719989,-1.38852e-06
1771875527.6810977,-0.7199999999999998,-0.05,-0.0499986,1.10768e-06,-0.71999,-1.11447e-06
1771875529.1044421,-0.7099999999999997,0.05,0.0500065,1.35292e-06,-0.709997,-1.3627e-06
1771875530.528126,-0.7099999999999997,-0.05,-0.0499973,1.07916e-06,-0.709996,-1.08471e-06
1771875531.951361,-0.6999999999999997,0.05,0.0500049,1.32027e-06,-0.699992,-1.33037e-06
1771875533.3747494,-0.6999999999999997,-0.05,-0.0499983,1.05548e-06,-0.69999,-1.06107e-06
1771875534.7982795,-0.6899999999999997,0.05,0.0500056,1.29539e-06,-0.690001,-1.304e-06
