"timestamp","provided_gate_voltage","provided_channel_voltage","drain_voltage","drain_current","measured_gate_voltage","measured_gate_current"
"1771869772.2046115","-1.0","0.05","0.0500048","9.36272e-09","-0.999965","-1.90083e-07"
"1771869775.2443678","-0.99","0.05","0.0500041","9.15189e-09","-0.989957","-2.03556e-07"
"1771869778.0751312","-0.98","0.05","0.0500056","8.75549e-09","-0.979966","-1.95147e-07"
"1771869780.8902109","-0.97","0.05","0.0500035","8.67507e-09","-0.969961","-1.91458e-07"
"1771869783.7049446","-0.96","0.05","0.0500029","8.2354e-09","-0.959954","-1.8195e-07"
"1771869787.3511567","-0.95","0.05","0.0500022","7.75781e-09","-0.949969","-1.83834e-07"
"1771869790.165746","-0.94","0.05","0.0500025","7.38645e-09","-0.93996","-1.75158e-07"
"1771869792.9963994","-0.9299999999999999","0.05","0.0500033","7.16666e-09","-0.929973","-1.71901e-07"
"1771869795.8593402","-0.9199999999999999","0.05","0.0500016","7.13537e-09","-0.919965","-1.66031e-07"
"1771869798.7060518","-0.9099999999999999","0.05","0.0500054","6.95994e-09","-0.909979","-1.62627e-07"
"1771869801.9687107","-0.8999999999999999","0.05","0.0500025","6.08108e-09","-0.899973","-1.5935e-07"
"1771869805.2471027","-0.8899999999999999","0.05","0.0500061","5.42841e-09","-0.889984","-1.48687e-07"
"1771869808.0935333","-0.8799999999999999","0.05","0.0500052","5.46643e-09","-0.879976","-1.36254e-07"
"1771869810.939818","-0.8699999999999999","0.05","0.050003","5.24423e-09","-0.869967","-1.51288e-07"
"1771869813.7877567","-0.8599999999999999","0.05","0.0500021","4.89464e-09","-0.859979","-1.42423e-07"
"1771869816.6494288","-0.8499999999999999","0.05","0.0500076","5.19401e-09","-0.849973","-1.35999e-07"
"1771869820.327652","-0.8399999999999999","0.05","0.0500061","3.81144e-09","-0.839981","-1.37262e-07"
"1771869823.1916716","-0.8299999999999998","0.05","0.0500045","2.95787e-09","-0.829975","-1.35862e-07"
"1771869826.038304","-0.8199999999999998","0.05","0.0500039","2.6206e-09","-0.819985","-1.31137e-07"
"1771869828.8869658","-0.8099999999999998","0.05","0.0500022","2.38414e-09","-0.809981","-1.28494e-07"
"1771869831.73146","-0.7999999999999998","0.05","0.0500012","2.39754e-09","-0.799996","-1.25776e-07"
"1771869834.9935784","-0.7899999999999998","0.05","0.0500028","1.58727e-09","-0.789984","-1.1557e-07"
"1771869838.2602217","-0.7799999999999998","0.05","0.0500028","1.44349e-09","-0.779993","-1.15616e-07"
"1771869841.1036017","-0.7699999999999998","0.05","0.0500068","1.1374e-09","-0.769994","-1.09277e-07"
"1771869843.9496555","-0.7599999999999998","0.05","0.0500017","1.03229e-09","-0.759985","-1.11458e-07"
"1771869846.7964172","-0.7499999999999998","0.05","0.0500016","1.12078e-09","-0.749997","-9.90789e-08"
"1771869849.9002047","-0.7399999999999998","0.05","0.0500021","7.91955e-10","-0.739984","-9.97149e-08"
"1771869853.7853098","-0.7299999999999998","0.05","0.0500058","6.58345e-10","-0.729997","-9.73531e-08"
"1771869856.8896046","-0.7199999999999998","0.05","0.0500066","7.33638e-10","-0.719985","-9.66704e-08"
"1771869859.7358017","-0.7099999999999997","0.05","0.0500047","4.61447e-10","-0.709991","-9.25877e-08"
"1771869862.5828865","-0.6999999999999997","0.05","0.0500046","3.51596e-10","-0.699989","-8.98185e-08"
"1771869865.4293723","-0.6899999999999997","0.05","0.0500057","3.99017e-10","-0.690001","-8.16363e-08"
"1771869869.1076477","-0.6799999999999997","0.05","0.0500034","5.9582e-10","-0.679997","-7.77192e-08"
"1771869871.953398","-0.6699999999999997","0.05","0.0500023","5.40566e-10","-0.669988","-8.24388e-08"
"1771869874.8171878","-0.6599999999999997","0.05","0.0500058","4.28581e-10","-0.659997","-8.28654e-08"
"1771869877.664211","-0.6499999999999997","0.05","0.0500065","2.42805e-10","-0.649988","-7.78795e-08"
"1771869880.509789","-0.6399999999999997","0.05","0.0500072","1.95646e-10","-0.639999","-7.48225e-08"
"1771869883.773556","-0.6299999999999997","0.05","0.0500052","1.41907e-10","-0.629996","-7.43622e-08"
"1771869887.0525954","-0.6199999999999997","0.05","0.0500048","2.92718e-10","-0.620004","-7.17774e-08"
"1771869889.8990915","-0.6099999999999997","0.05","0.0500042","2.88093e-10","-0.609998","-6.87276e-08"
"1771869892.7604704","-0.5999999999999996","0.05","0.0500025","3.93796e-10","-0.600007","-6.16337e-08"
"1771869895.6083395","-0.5899999999999996","0.05","0.0500003","3.09598e-10","-0.589998","-6.55616e-08"
"1771869898.454242","-0.5799999999999996","0.05","0.050006","1.70696e-10","-0.579995","-5.95489e-08"
"1771869902.1486773","-0.5699999999999996","0.05","0.050007","6.78623e-10","-0.570007","-5.93137e-08"
"1771869904.996611","-0.5599999999999996","0.05","0.0500056","1.32799e-11","-0.560001","-5.54852e-08"
"1771869907.8437002","-0.5499999999999996","0.05","0.0500037","-5.71013e-11","-0.550008","-5.53672e-08"
"1771869910.6889145","-0.5399999999999996","0.05","0.0500049","2.89059e-10","-0.54","-5.91508e-08"
"1771869913.5359657","-0.5299999999999996","0.05","0.0500048","3.21603e-10","-0.53001","-5.53116e-08"
"1771869916.799696","-0.5199999999999996","0.05","0.0500053","2.08318e-10","-0.520004","-5.34035e-08"
"1771869920.2060115","-0.5099999999999996","0.05","0.0500049","-1.4472e-11","-0.510012","-4.56167e-08"
"1771869923.0529792","-0.49999999999999956","0.05","0.0500057","1.17135e-10","-0.500005","-4.73675e-08"
"1771869925.9156861","-0.48999999999999955","0.05","0.0500048","2.40064e-10","-0.490014","-4.47564e-08"
