"timestamp","provided_gate_voltage","provided_channel_voltage","drain_voltage","drain_current","measured_gate_voltage","measured_gate_current"
"1772131164.1083553","-1.0","0.05","0.0500033","1.4317e-10","-0.999977","-5.50712e-07"
"1772131170.2510772","-0.99","0.05","0.0500021","1.37889e-10","-0.989969","-4.78325e-07"
"1772131177.2253842","-0.98","0.05","0.0500009","5.70059e-11","-0.979969","-4.29867e-07"
"1772131183.367808","-0.97","0.05","0.0500008","1.13642e-10","-0.969959","-3.95157e-07"
"1772131189.5101833","-0.96","0.05","0.0500004","8.49128e-11","-0.95996","-3.64204e-07"
"1772131196.4841466","-0.95","0.05","0.0500046","5.94497e-11","-0.949969","-3.32667e-07"
"1772131202.626634","-0.94","0.05","0.0500033","1.073e-10","-0.939966","-3.1062e-07"
"1772131209.6164455","-0.9299999999999999","0.05","0.0500036","6.36697e-11","-0.929975","-2.90761e-07"
"1772131215.7906334","-0.9199999999999999","0.05","0.0500026","3.22103e-11","-0.91997","-2.76268e-07"
"1772131221.964964","-0.9099999999999999","0.05","0.0500052","9.9504e-11","-0.909981","-2.60938e-07"
"1772131228.971082","-0.8999999999999999","0.05","0.0500017","4.84705e-11","-0.899974","-2.52492e-07"
"1772131235.145479","-0.8899999999999999","0.05","0.0500013","4.27485e-11","-0.88999","-2.41782e-07"
"1772131242.1514187","-0.8799999999999999","0.05","0.05","9.81688e-11","-0.879982","-2.32996e-07"
"1772131248.3256905","-0.8699999999999999","0.05","0.050003","1.30653e-11","-0.869971","-2.27681e-07"
"1772131254.5002098","-0.8599999999999999","0.05","0.050001","7.48873e-11","-0.859984","-2.19103e-07"
"1772131261.506178","-0.8499999999999999","0.05","0.0500013","5.50747e-11","-0.849974","-2.18132e-07"
"1772131267.6963549","-0.8399999999999999","0.05","0.0500034","1.14679e-11","-0.839987","-2.10831e-07"
"1772131274.7025802","-0.8299999999999998","0.05","0.0500032","8.03232e-11","-0.829982","-2.06756e-07"
"1772131280.8770616","-0.8199999999999998","0.05","0.0500022","1.20282e-11","-0.819995","-2.0415e-07"
"1772131287.0513594","-0.8099999999999998","0.05","0.0500037","6.80447e-11","-0.809986","-1.99417e-07"
"1772131294.0573814","-0.7999999999999998","0.05","0.0500025","3.27826e-12","-0.799997","-1.96245e-07"
"1772131300.2319336","-0.7899999999999998","0.05","0.050005","8.13246e-11","-0.789992","-1.94426e-07"
"1772131307.2375224","-0.7799999999999998","0.05","0.0500027","3.55244e-12","-0.779998","-1.88844e-07"
"1772131313.4120965","-0.7699999999999998","0.05","0.0500013","2.3663e-11","-0.769993","-1.86664e-07"
"1772131319.5863278","-0.7599999999999998","0.05","0.0500028","6.4683e-11","-0.759983","-1.82103e-07"
"1772131326.592609","-0.7499999999999998","0.05","0.050002","-8.08239e-12","-0.749997","-1.81845e-07"
"1772131332.767169","-0.7399999999999998","0.05","0.0499998","7.54952e-11","-0.739991","-1.78829e-07"
"1772131339.773187","-0.7299999999999998","0.05","0.0500015","-5.59092e-12","-0.730003","-1.75272e-07"
"1772131345.9473028","-0.7199999999999998","0.05","0.0500017","5.25117e-11","-0.719997","-1.73161e-07"
"1772131352.1215725","-0.7099999999999997","0.05","0.0499994","2.69175e-11","-0.710007","-1.69257e-07"
"1772131359.12801","-0.6999999999999997","0.05","0.0500008","1.32799e-11","-0.699997","-1.67959e-07"
"1772131365.3020601","-0.6899999999999997","0.05","0.0500004","6.634e-11","-0.69001","-1.62059e-07"
"1772131372.3083045","-0.6799999999999997","0.05","0.05","-3.38554e-12","-0.680002","-1.61123e-07"
"1772131378.482956","-0.6699999999999997","0.05","0.0499999","7.16686e-11","-0.669991","-1.56708e-07"
"1772131384.6571784","-0.6599999999999997","0.05","0.0500023","-1.54376e-11","-0.660008","-1.55018e-07"
"1772131391.6633937","-0.6499999999999997","0.05","0.050001","6.68526e-11","-0.649997","-1.51109e-07"
"1772131397.8379233","-0.6399999999999997","0.05","0.0500023","-1.46151e-11","-0.640009","-1.49145e-07"
"1772131404.8601162","-0.6299999999999997","0.05","0.0500004","5.70178e-11","-0.630003","-1.4581e-07"
"1772131411.0341532","-0.6199999999999997","0.05","0.0500038","-1.58429e-11","-0.620011","-1.43327e-07"
"1772131417.2566528","-0.6099999999999997","0.05","0.0500003","5.07474e-11","-0.610008","-1.39257e-07"
"1772131424.2630444","-0.5999999999999996","0.05","0.0500036","2.74181e-13","-0.600014","-1.37992e-07"
"1772131430.4373007","-0.5899999999999996","0.05","0.0500017","5.00917e-11","-0.590013","-1.33647e-07"
"1772131437.4433196","-0.5799999999999996","0.05","0.0500026","3.35455e-11","-0.579996","-1.32264e-07"
"1772131443.6179807","-0.5699999999999996","0.05","0.0500027","-1.34945e-11","-0.570013","-1.2766e-07"
"1772131449.7923477","-0.5599999999999996","0.05","0.0500005","4.5836e-11","-0.560002","-1.24212e-07"
"1772131456.79859","-0.5499999999999996","0.05","0.0500022","6.52909e-11","-0.550013","-1.21864e-07"
"1772131462.9728653","-0.5399999999999996","0.05","0.0500026","9.01222e-12","-0.540007","-1.19056e-07"
"1772131469.979182","-0.5299999999999996","0.05","0.0500018","-1.48535e-11","-0.530018","-1.15822e-07"
"1772131476.1536393","-0.5199999999999996","0.05","0.0500013","1.14203e-11","-0.520008","-1.11231e-07"
"1772131482.3760679","-0.5099999999999996","0.05","0.0500007","5.66125e-11","-0.510016","-1.08349e-07"
"1772131489.3821993","-0.49999999999999956","0.05","0.0499985","2.27809e-11","-0.500006","-1.0678e-07"
"1772131495.5566072","-0.48999999999999955","0.05","0.0499997","3.31402e-12","-0.490017","-1.0174e-07"
"1772131502.5631864","-0.47999999999999954","0.05","0.050003","6.50406e-11","-0.480009","-9.99297e-08"
"1772131509.185654","-0.46999999999999953","0.05","0.0500031","7.89166e-12","-0.469999","-9.78572e-08"
"1772131515.5998578","-0.4599999999999995","0.05","0.0499994","5.75542e-11","-0.460002","-9.35967e-08"
"1772131522.6058702","-0.4499999999999995","0.05","0.0500037","-2.03967e-11","-0.45","-9.1957e-08"
"1772131528.7804148","-0.4399999999999995","0.05","0.0500009","6.35982e-11","-0.440009","-8.80627e-08"
"1772131535.7867637","-0.4299999999999995","0.05","0.0500041","-1.93715e-11","-0.429999","-8.64929e-08"
"1772131541.961021","-0.4199999999999995","0.05","0.0500022","6.20961e-11","-0.420009","-8.31621e-08"
"1772131548.135388","-0.4099999999999995","0.05","0.0500022","-1.03116e-11","-0.410008","-8.12506e-08"
"1772131555.141853","-0.39999999999999947","0.05","0.0500031","2.67148e-11","-0.400012","-7.87372e-08"
"1772131561.316102","-0.38999999999999946","0.05","0.0500041","4.45843e-11","-0.390003","-7.6248e-08"
"1772131568.3383543","-0.37999999999999945","0.05","0.0499998","-9.53674e-13","-0.380001","-7.44784e-08"
"1772131574.5127687","-0.36999999999999944","0.05","0.0499991","4.47154e-11","-0.370009","-7.20564e-08"
"1772131580.6873338","-0.35999999999999943","0.05","0.0499988","-2.3365e-12","-0.359995","-7.06564e-08"
"1772131587.6935678","-0.3499999999999994","0.05","0.0500008","1.87874e-11","-0.350006","-6.8403e-08"
"1772131593.8679657","-0.3399999999999994","0.05","0.0500025","-2.40445e-11","-0.34","-6.63133e-08"
"1772131601.3383536","-0.3299999999999994","0.05","0.0500041","-1.5521e-11","-0.330009","-6.52944e-08"
"1772131607.512941","-0.3199999999999994","0.05","0.0500041","3.6025e-11","-0.319999","-6.30332e-08"
"1772131613.6871336","-0.3099999999999994","0.05","0.050002","8.9407e-13","-0.310011","-6.20591e-08"
"1772131620.6934826","-0.2999999999999994","0.05","0.0500012","2.61068e-11","-0.3","-6.01361e-08"
"1772131626.8682003","-0.28999999999999937","0.05","0.0499991","8.80957e-12","-0.28999","-5.85931e-08"
"1772131633.8742712","-0.27999999999999936","0.05","0.0500005","5.12362e-11","-0.28","-5.67131e-08"
"1772131640.04837","-0.26999999999999935","0.05","0.0500035","-1.80244e-11","-0.269995","-5.60663e-08"
"1772131646.2233515","-0.25999999999999934","0.05","0.0499992","5.55038e-11","-0.260004","-5.37443e-08"
"1772131653.229406","-0.24999999999999933","0.05","0.0500051","-2.34604e-11","-0.249993","-5.27004e-08"
"1772131659.4520116","-0.23999999999999932","0.05","0.0499988","2.33173e-11","-0.240006","-5.09704e-08"
"1772131666.458378","-0.22999999999999932","0.05","0.0500055","4.1616e-11","-0.229995","-4.91233e-08"
"1772131672.6329086","-0.2199999999999993","0.05","0.0500024","-1.44362e-11","-0.220004","-4.79927e-08"
"1772131678.807023","-0.2099999999999993","0.05","0.0500026","5.29647e-11","-0.209995","-4.58674e-08"
"1772131685.813788","-0.1999999999999993","0.05","0.0500039","-2.42114e-11","-0.200006","-4.48076e-08"
"1772131691.9881759","-0.18999999999999928","0.05","0.0500033","4.54307e-11","-0.189998","-4.24977e-08"
"1772131698.9944093","-0.17999999999999927","0.05","0.0500034","1.26123e-11","-0.179989","-4.09298e-08"
"1772131705.1689339","-0.16999999999999926","0.05","0.0500023","1.23858e-11","-0.169999","-3.92218e-08"
"1772131711.3431613","-0.15999999999999925","0.05","0.050002","3.97801e-11","-0.159993","-3.72624e-08"
"1772131718.3658342","-0.14999999999999925","0.05","0.0500046","-2.86818e-11","-0.149998","-3.60201e-08"
"1772131724.5402718","-0.13999999999999924","0.05","0.0500041","5.29885e-11","-0.139991","-3.31599e-08"
"1772131731.546561","-0.12999999999999923","0.05","0.0500018","-2.08974e-11","-0.130006","-3.19927e-08"
"1772131737.7211714","-0.11999999999999923","0.05","0.0500023","4.87566e-11","-0.11999","-2.93921e-08"
"1772131743.8955343","-0.10999999999999924","0.05","0.0500003","-2.87056e-11","-0.11","-2.79181e-08"
"1772131750.9017525","-0.09999999999999924","0.05","0.0500022","4.94003e-11","-0.0999873","-2.5058e-08"
"1772131757.076459","-0.08999999999999925","0.05","0.0500032","-9.48906e-12","-0.0899884","-2.33774e-08"
"1772131764.082728","-0.07999999999999925","0.05","0.0500005","1.88947e-11","-0.0799883","-2.09327e-08"
"1772131770.2573013","-0.06999999999999926","0.05","0.0499998","3.86119e-11","-0.0699906","-1.82518e-08"
"1772131776.4313521","-0.059999999999999255","0.05","0.0500034","-3.29733e-11","-0.0599912","-1.64982e-08"
"1772131783.4383008","-0.04999999999999925","0.05","0.050002","3.86238e-11","-0.0499905","-1.35483e-08"
"1772131789.612471","-0.03999999999999925","0.05","0.0500012","5.24521e-12","-0.039991","-1.11306e-08"
"1772131796.6189675","-0.02999999999999925","0.05","0.0500023","-3.86238e-12","-0.0299901","-8.6212e-09"
"1772131802.7935803","-0.019999999999999248","0.05","0.0499989","4.06027e-11","-0.0199869","-5.56798e-09"
"1772131808.9682286","-0.009999999999999247","0.05","0.0500003","-3.07202e-11","-0.00998601","-3.13858e-09"
"1772131815.9743195","7.528699885739343e-16","0.05","0.0500019","4.33207e-11","9.46522e-06","1.30141e-10"
"1772131822.1489782","0.010000000000000753","0.05","0.0500043","-3.37243e-11","0.0100148","2.82698e-09"
"1772131829.1552832","0.020000000000000753","0.05","0.0500041","4.62651e-11","0.0200129","6.42865e-09"
"1772131835.3299575","0.030000000000000755","0.05","0.0500027","-3.24965e-11","0.0300125","9.2346e-09"
