timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current
1772474314.2401958,-1.0,0.05,0.0499933,4.98889e-05,-0.999977,-0.000100009
1772474317.7275155,-1.0,-0.05,-0.050014,-4.99739e-05,-0.999981,-0.000100003
1772474320.7990391,-0.99,0.05,0.0499922,4.98878e-05,-0.989963,-9.90122e-05
1772474324.494011,-0.99,-0.05,-0.0500143,-4.99777e-05,-0.989958,-9.90049e-05
1772474327.9814157,-0.98,0.05,0.0499942,4.98853e-05,-0.979968,-9.80111e-05
1772474331.0528574,-0.98,-0.05,-0.0500156,-4.99797e-05,-0.979968,-9.80057e-05
1772474334.1244316,-0.97,0.05,0.0499961,4.9886e-05,-0.969962,-9.70102e-05
1772474337.1962245,-0.97,-0.05,-0.0500156,-4.99786e-05,-0.969964,-9.7004e-05
1772474340.6834755,-0.96,0.05,0.0499968,4.98894e-05,-0.959962,-9.601e-05
1772474344.1708813,-0.96,-0.05,-0.0500111,-4.99732e-05,-0.95996,-9.60039e-05
1772474347.242389,-0.95,0.05,0.0499951,4.98862e-05,-0.949967,-9.50095e-05
1772474350.314499,-0.95,-0.05,-0.0500185,-4.99816e-05,-0.949971,-9.50041e-05
1772474353.3856063,-0.94,0.05,0.0499942,4.98851e-05,-0.939962,-9.40093e-05
1772474356.8729556,-0.94,-0.05,-0.0500107,-4.99736e-05,-0.939965,-9.40024e-05
1772474360.3766415,-0.9299999999999999,0.05,0.0499955,4.98848e-05,-0.929977,-9.30087e-05
1772474363.4641256,-0.9299999999999999,-0.05,-0.0500097,-4.99739e-05,-0.929976,-9.3003e-05
1772474366.551784,-0.9199999999999999,0.05,0.0499999,4.98872e-05,-0.919968,-9.20091e-05
1772474369.6395097,-0.9199999999999999,-0.05,-0.0500136,-4.99825e-05,-0.91997,-9.20029e-05
1772474373.1426818,-0.9099999999999999,0.05,0.0499963,4.98837e-05,-0.909987,-9.10086e-05
1772474376.6463232,-0.9099999999999999,-0.05,-0.0500133,-4.99799e-05,-0.909983,-9.10016e-05
1772474379.7333972,-0.8999999999999999,0.05,0.0499962,4.98837e-05,-0.899977,-9.00066e-05
1772474382.821444,-0.8999999999999999,-0.05,-0.0500167,-4.99825e-05,-0.899976,-9.00009e-05
1772474385.9090488,-0.8899999999999999,0.05,0.0499952,4.98823e-05,-0.889988,-8.90083e-05
1772474389.4123652,-0.8899999999999999,-0.05,-0.050013,-4.99837e-05,-0.889988,-8.90014e-05
1772474392.9158635,-0.8799999999999999,0.05,0.0499949,4.98805e-05,-0.879981,-8.80072e-05
1772474396.0032384,-0.8799999999999999,-0.05,-0.0500145,-4.99822e-05,-0.879981,-8.8002e-05
1772474399.0906672,-0.8699999999999999,0.05,0.05,4.98824e-05,-0.869973,-8.70074e-05
1772474402.1781886,-0.8699999999999999,-0.05,-0.0500118,-4.99818e-05,-0.869977,-8.70029e-05
1772474405.6820433,-0.8599999999999999,0.05,0.0499947,4.988e-05,-0.859987,-8.6009e-05
1772474409.1856158,-0.8599999999999999,-0.05,-0.0500122,-4.99825e-05,-0.859986,-8.60018e-05
1772474412.272817,-0.8499999999999999,0.05,0.049993,4.98731e-05,-0.849978,-8.50083e-05
1772474415.360554,-0.8499999999999999,-0.05,-0.0500159,-4.99842e-05,-0.849975,-8.50039e-05
1772474418.4480681,-0.8399999999999999,0.05,0.0499956,4.98797e-05,-0.83999,-8.40116e-05
1772474421.951619,-0.8399999999999999,-0.05,-0.0500135,-4.9984e-05,-0.839991,-8.40051e-05
1772474425.4549375,-0.8299999999999998,0.05,0.0499976,4.98781e-05,-0.829984,-8.30096e-05
1772474428.5425692,-0.8299999999999998,-0.05,-0.0500112,-4.99838e-05,-0.829982,-8.30037e-05
1772474431.677782,-0.8199999999999998,0.05,0.0499947,4.98737e-05,-0.819996,-8.20109e-05
