"timestamp","provided_gate_voltage","provided_channel_voltage","drain_voltage","drain_current","measured_gate_voltage","measured_gate_current"
"1772474314.2401958","-1.0","0.05","0.0499933","4.98889e-05","-0.999977","-0.000100009"
"1772474320.7990391","-0.99","0.05","0.0499922","4.98878e-05","-0.989963","-9.90122e-05"
"1772474327.9814157","-0.98","0.05","0.0499942","4.98853e-05","-0.979968","-9.80111e-05"
"1772474334.1244316","-0.97","0.05","0.0499961","4.9886e-05","-0.969962","-9.70102e-05"
"1772474340.6834755","-0.96","0.05","0.0499968","4.98894e-05","-0.959962","-9.601e-05"
"1772474347.242389","-0.95","0.05","0.0499951","4.98862e-05","-0.949967","-9.50095e-05"
"1772474353.3856063","-0.94","0.05","0.0499942","4.98851e-05","-0.939962","-9.40093e-05"
"1772474360.3766415","-0.9299999999999999","0.05","0.0499955","4.98848e-05","-0.929977","-9.30087e-05"
"1772474366.551784","-0.9199999999999999","0.05","0.0499999","4.98872e-05","-0.919968","-9.20091e-05"
"1772474373.1426818","-0.9099999999999999","0.05","0.0499963","4.98837e-05","-0.909987","-9.10086e-05"
"1772474379.7333972","-0.8999999999999999","0.05","0.0499962","4.98837e-05","-0.899977","-9.00066e-05"
"1772474385.9090488","-0.8899999999999999","0.05","0.0499952","4.98823e-05","-0.889988","-8.90083e-05"
"1772474392.9158635","-0.8799999999999999","0.05","0.0499949","4.98805e-05","-0.879981","-8.80072e-05"
"1772474399.0906672","-0.8699999999999999","0.05","0.05","4.98824e-05","-0.869973","-8.70074e-05"
"1772474405.6820433","-0.8599999999999999","0.05","0.0499947","4.988e-05","-0.859987","-8.6009e-05"
"1772474412.272817","-0.8499999999999999","0.05","0.049993","4.98731e-05","-0.849978","-8.50083e-05"
"1772474418.4480681","-0.8399999999999999","0.05","0.0499956","4.98797e-05","-0.83999","-8.40116e-05"
"1772474425.4549375","-0.8299999999999998","0.05","0.0499976","4.98781e-05","-0.829984","-8.30096e-05"
"1772474431.677782","-0.8199999999999998","0.05","0.0499947","4.98737e-05","-0.819996","-8.20109e-05"
"1772474438.2690842","-0.8099999999999998","0.05","0.0499943","4.98743e-05","-0.809994","-8.10102e-05"
"1772474444.8600674","-0.7999999999999998","0.05","0.0499925","4.98733e-05","-0.800003","-8.00104e-05"
"1772474451.035254","-0.7899999999999998","0.05","0.0499922","4.98747e-05","-0.789993","-7.90099e-05"
"1772474458.0421271","-0.7799999999999998","0.05","0.0499943","4.98746e-05","-0.780005","-7.80114e-05"
"1772474464.2172399","-0.7699999999999998","0.05","0.0499933","4.98718e-05","-0.769999","-7.70105e-05"
"1772474470.8079355","-0.7599999999999998","0.05","0.0499937","4.98736e-05","-0.759992","-7.60111e-05"
"1772474477.3991501","-0.7499999999999998","0.05","0.0499968","4.98712e-05","-0.750002","-7.50113e-05"
"1772474483.5739443","-0.7399999999999998","0.05","0.0499962","4.98744e-05","-0.739994","-7.40106e-05"
"1772474490.5808427","-0.7299999999999998","0.05","0.0499937","4.98693e-05","-0.730006","-7.30101e-05"
"1772474496.7560773","-0.7199999999999998","0.05","0.0499957","4.98714e-05","-0.719998","-7.20086e-05"
"1772474503.3790755","-0.7099999999999997","0.05","0.0499949","4.98685e-05","-0.710011","-7.10088e-05"
"1772474509.970367","-0.6999999999999997","0.05","0.0499939","4.98681e-05","-0.700001","-7.00088e-05"
"1772474516.1449244","-0.6899999999999997","0.05","0.0499942","4.98682e-05","-0.69001","-6.90098e-05"
"1772474523.2157693","-0.6799999999999997","0.05","0.0499969","4.98704e-05","-0.680005","-6.80086e-05"
"1772474529.390813","-0.6699999999999997","0.05","0.0499956","4.98673e-05","-0.669998","-6.70084e-05"
"1772474535.9818428","-0.6599999999999997","0.05","0.0499967","4.98672e-05","-0.660012","-6.60089e-05"
"1772474542.5727751","-0.6499999999999997","0.05","0.0499984","4.98672e-05","-0.650003","-6.50088e-05"
"1772474548.7477324","-0.6399999999999997","0.05","0.0499952","4.98677e-05","-0.640011","-6.40081e-05"
"1772474555.7550375","-0.6299999999999997","0.05","0.0499953","4.98625e-05","-0.629997","-6.30078e-05"
"1772474561.9297335","-0.6199999999999997","0.05","0.0499974","4.98666e-05","-0.620013","-6.20087e-05"
"1772474568.5208566","-0.6099999999999997","0.05","0.0499951","4.98641e-05","-0.610006","-6.10084e-05"
"1772474575.1115623","-0.5999999999999996","0.05","0.0499948","4.98616e-05","-0.600014","-6.00098e-05"
"1772474581.3347173","-0.5899999999999996","0.05","0.0499953","4.98652e-05","-0.590009","-5.90084e-05"
"1772474588.3413353","-0.5799999999999996","0.05","0.0499942","4.98589e-05","-0.580003","-5.80086e-05"
"1772474594.5165105","-0.5699999999999996","0.05","0.0499952","4.98595e-05","-0.570012","-5.70088e-05"
"1772474601.1072652","-0.5599999999999996","0.05","0.0499956","4.98601e-05","-0.560006","-5.60072e-05"
"1772474607.6984694","-0.5499999999999996","0.05","0.0499986","4.98627e-05","-0.550018","-5.5009e-05"
"1772474613.8734612","-0.5399999999999996","0.05","0.0499971","4.9862e-05","-0.540005","-5.40077e-05"
"1772474620.8801093","-0.5299999999999996","0.05","0.0499991","4.98654e-05","-0.530018","-5.30089e-05"
