timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current
1779214730.7506142,-1.0,0.05,0.0499966,6.56688e-06,-0.99997,-1.40665e-09
1779214734.0295546,-1.0,-0.05,-0.0500172,-6.75771e-06,-0.999967,-9.25899e-10
1779214737.1003644,-0.99,0.05,0.0499965,6.89454e-06,-0.989964,-4.22215e-10
1779214740.1710048,-0.99,-0.05,-0.050015,-7.00441e-06,-0.989965,-4.94933e-10
1779214744.1056015,-0.98,0.05,0.0499994,7.10182e-06,-0.979972,-4.0983e-10
1779214747.17646,-0.98,-0.05,-0.0500094,-7.15597e-06,-0.979974,-3.46887e-10
1779214750.2468407,-0.97,0.05,0.0500016,7.21564e-06,-0.96997,-4.55642e-10
1779214753.3177667,-0.97,-0.05,-0.0500118,-7.26118e-06,-0.969972,-4.758e-10
1779214756.3883371,-0.96,0.05,0.0499981,7.32279e-06,-0.959962,-5.37109e-10
1779214760.2908387,-0.96,-0.05,-0.0500144,-7.37083e-06,-0.959965,-5.10633e-10
1779214763.3615682,-0.95,0.05,0.0499956,7.42528e-06,-0.949974,-5.2768e-10
1779214766.4325063,-0.95,-0.05,-0.0500157,-7.45398e-06,-0.949973,-2.78151e-10
1779214769.5034668,-0.94,0.05,0.0499964,7.49698e-06,-0.939966,-2.93481e-10
1779214772.5740092,-0.94,-0.05,-0.0500107,-7.52573e-06,-0.939969,-2.76864e-10
1779214776.4925244,-0.9299999999999999,0.05,0.0499989,7.57068e-06,-0.929979,-4.35209e-10
1779214779.5791981,-0.9299999999999999,-0.05,-0.0500138,-7.58176e-06,-0.92998,-4.44937e-10
1779214782.6659987,-0.9199999999999999,0.05,0.0499922,7.61318e-06,-0.919973,-5.62358e-10
1779214785.7525344,-0.9199999999999999,-0.05,-0.0500115,-7.62455e-06,-0.919975,-4.81915e-10
1779214788.8395264,-0.9099999999999999,0.05,0.0499935,7.65738e-06,-0.909986,-5.05424e-10
1779214792.7578464,-0.9099999999999999,-0.05,-0.0500149,-7.66692e-06,-0.909985,-4.63009e-10
1779214795.8447816,-0.8999999999999999,0.05,0.0499971,7.69562e-06,-0.89998,1.03455e-09
1779214798.9310973,-0.8999999999999999,-0.05,-0.0500192,-7.70349e-06,-0.899977,-5.42366e-10
1779214802.017975,-0.8899999999999999,0.05,0.0499939,7.72856e-06,-0.889993,3.43704e-10
1779214805.1049807,-0.8899999999999999,-0.05,-0.0500152,-7.7232e-06,-0.889995,-5.40018e-12
1779214809.0232882,-0.8799999999999999,0.05,0.0499946,7.74737e-06,-0.879986,1.72806e-10
1779214812.1099913,-0.8799999999999999,-0.05,-0.0500141,-7.74798e-06,-0.879986,-3.02243e-10
1779214815.196559,-0.8699999999999999,0.05,0.0499958,7.77421e-06,-0.86998,-1.79756e-10
1779214818.2836504,-0.8699999999999999,-0.05,-0.0500149,-7.77e-06,-0.86998,-7.19428e-11
1779214821.3697464,-0.8599999999999999,0.05,0.0499944,7.79388e-06,-0.859984,-1.20854e-10
1779214825.2886899,-0.8599999999999999,-0.05,-0.0500136,-7.79409e-06,-0.859984,-5.75423e-11
1779214828.3751996,-0.8499999999999999,0.05,0.0499956,7.81084e-06,-0.849979,-1.44887e-10
1779214831.4625187,-0.8499999999999999,-0.05,-0.0500138,-7.81424e-06,-0.849979,-1.44255e-10
1779214834.5489633,-0.8399999999999999,0.05,0.0499995,7.82921e-06,-0.83999,-2.6139e-10
1779214837.635918,-0.8399999999999999,-0.05,-0.0500117,-7.82713e-06,-0.83999,-1.30558e-10
1779214841.554564,-0.8299999999999998,0.05,0.0499997,7.84504e-06,-0.829987,-2.77686e-10
1779214844.6408937,-0.8299999999999998,-0.05,-0.0500164,-7.83923e-06,-0.829987,-2.38121e-10
1779214847.7272215,-0.8199999999999998,0.05,0.0499976,7.85254e-06,-0.819999,-2.87855e-10
1779214850.8147538,-0.8199999999999998,-0.05,-0.0500125,-7.84855e-06,-0.82,-7.07984e-11
1779214853.9011238,-0.8099999999999998,0.05,0.0499983,7.86974e-06,-0.809989,4.28164e-10
1779214857.8193493,-0.8099999999999998,-0.05,-0.050016,-7.8662e-06,-0.809988,8.70109e-10
1779214860.9062622,-0.7999999999999998,0.05,0.0499952,7.87862e-06,-0.800004,-3.16536e-10
1779214863.9928174,-0.7999999999999998,-0.05,-0.0500158,-7.87071e-06,-0.800004,1.20828e-09
1779214867.0795903,-0.7899999999999998,0.05,0.0499936,7.8795e-06,-0.789994,-5.5449e-10
1779214870.1663113,-0.7899999999999998,-0.05,-0.050015,-7.87269e-06,-0.789996,-1.688e-11
1779214874.0850668,-0.7799999999999998,0.05,0.0499965,7.89259e-06,-0.780006,-1.71292e-10
1779214877.1715345,-0.7799999999999998,-0.05,-0.0500142,-7.88233e-06,-0.780007,-2.8491e-10
1779214880.2584476,-0.7699999999999998,0.05,0.049996,7.89316e-06,-0.769999,-3.04234e-10
1779214883.3455663,-0.7699999999999998,-0.05,-0.0500168,-7.87974e-06,-0.769997,2.58923e-11
1779214886.432022,-0.7599999999999998,0.05,0.0499946,7.89826e-06,-0.759992,-4.44293e-11
1779214890.350542,-0.7599999999999998,-0.05,-0.0500169,-7.88457e-06,-0.759996,-1.14095e-10
1779214893.4369864,-0.7499999999999998,0.05,0.0499941,7.89573e-06,-0.750007,-1.64282e-10
1779214896.5238295,-0.7499999999999998,-0.05,-0.0500149,-7.88457e-06,-0.750001,4.35233e-11
1779214899.6104794,-0.7399999999999998,0.05,0.0499956,7.89856e-06,-0.739995,1.52349e-11
1779214902.697125,-0.7399999999999998,-0.05,-0.0500143,-7.88322e-06,-0.739997,2.10261e-10
1779214906.6157122,-0.7299999999999998,0.05,0.0499935,7.89685e-06,-0.730012,-4.32575e-10
1779214909.702536,-0.7299999999999998,-0.05,-0.0500134,-7.88453e-06,-0.730007,-5.63264e-11
1779214912.7889485,-0.7199999999999998,0.05,0.0499978,7.8962e-06,-0.719999,1.05381e-11
1779214915.8759189,-0.7199999999999998,-0.05,-0.0500115,-7.87964e-06,-0.720002,8.08239e-12
1779214918.962738,-0.7099999999999997,0.05,0.0499931,7.8937e-06,-0.710013,-1.18709e-10
1779214922.9128013,-0.7099999999999997,-0.05,-0.0500137,-7.8759e-06,-0.710012,-1.34325e-10
1779214925.9997172,-0.6999999999999997,0.05,0.0499934,7.88677e-06,-0.700002,-4.82798e-11
1779214929.086972,-0.6999999999999997,-0.05,-0.0500134,-7.8718e-06,-0.700005,1.2033e-10
1779214932.1737628,-0.6899999999999997,0.05,0.0499977,7.88229e-06,-0.690013,-7.83563e-11
1779214935.2606876,-0.6899999999999997,-0.05,-0.0500116,-7.8677e-06,-0.690013,-9.84073e-11
1779214939.178825,-0.6799999999999997,0.05,0.0499986,7.87612e-06,-0.680008,-2.15292e-11
1779214942.2658887,-0.6799999999999997,-0.05,-0.0500109,-7.8618e-06,-0.680006,1.05071e-10
1779214945.3524468,-0.6699999999999997,0.05,0.049999,7.87041e-06,-0.669998,1.4112e-10
1779214948.4394774,-0.6699999999999997,-0.05,-0.0500109,-7.85763e-06,-0.669999,2.89798e-11
1779214951.5258856,-0.6599999999999997,0.05,0.0499922,7.86424e-06,-0.660012,-1.37341e-10
1779214955.4922953,-0.6599999999999997,-0.05,-0.0500152,-7.84681e-06,-0.660012,-6.66142e-11
1779214958.5789256,-0.6499999999999997,0.05,0.0499938,7.85933e-06,-0.650004,3.09336e-10
1779214961.6656942,-0.6499999999999997,-0.05,-0.0500136,-7.84609e-06,-0.650001,1.14179e-10
1779214964.7524526,-0.6399999999999997,0.05,0.0499954,7.85576e-06,-0.640011,3.09157e-10
1779214967.8389065,-0.6399999999999997,-0.05,-0.050011,-7.83589e-06,-0.640012,-6.48618e-10
1779214971.7575226,-0.6299999999999997,0.05,0.0499962,7.8409e-06,-0.630006,-1.66869e-10
1779214974.8443708,-0.6299999999999997,-0.05,-0.050016,-7.82498e-06,-0.630006,-1.06096e-11
1779214977.9313412,-0.6199999999999997,0.05,0.0499942,7.83424e-06,-0.620015,6.2561e-11
1779214981.0177925,-0.6199999999999997,-0.05,-0.0500133,-7.81792e-06,-0.620016,1.38485e-10
1779214984.1041496,-0.6099999999999997,0.05,0.0499973,7.82799e-06,-0.61001,5.79357e-11
1779214988.0229204,-0.6099999999999997,-0.05,-0.0500144,-7.80691e-06,-0.610013,-3.57628e-13
1779214991.109622,-0.5999999999999996,0.05,0.0499989,7.8151e-06,-0.600024,-1.46401e-10
1779214994.1961253,-0.5999999999999996,-0.05,-0.0500149,-7.79956e-06,-0.60002,-9.75847e-11
1779214997.283508,-0.5899999999999996,0.05,0.0499943,7.80464e-06,-0.590015,-8.17776e-11
1779215000.3698313,-0.5899999999999996,-0.05,-0.0500129,-7.78476e-06,-0.590011,-2.02775e-11
1779215004.2884898,-0.5799999999999996,0.05,0.0499989,7.79407e-06,-0.58,2.71082e-11
1779215007.3751028,-0.5799999999999996,-0.05,-0.0500145,-7.77547e-06,-0.580006,1.54984e-10
1779215010.462163,-0.5699999999999996,0.05,0.049996,7.78253e-06,-0.570015,6.16431e-11
1779215013.5488267,-0.5699999999999996,-0.05,-0.0500124,-7.76654e-06,-0.570012,2.81572e-11
1779215016.6354682,-0.5599999999999996,0.05,0.0499945,7.77258e-06,-0.56001,-6.54459e-12
1779215020.5539746,-0.5599999999999996,-0.05,-0.0500141,-7.75306e-06,-0.560007,-5.65052e-11
1779215023.6406026,-0.5499999999999996,0.05,0.0499941,7.75702e-06,-0.550016,-1.61326e-10
1779215026.7276669,-0.5499999999999996,-0.05,-0.0500164,-7.74257e-06,-0.550018,-7.37429e-11
