"timestamp","provided_gate_voltage","provided_channel_voltage","drain_voltage","drain_current","measured_gate_voltage","measured_gate_current"
"1780680594.7945433","-1.0","0.05","0.0500078","5.3586e-05","-0.99997","-3.45082e-09"
"1780680601.1439445","-0.99","0.05","0.0500117","5.35623e-05","-0.989963","-1.38794e-09"
"1780680608.1166484","-0.98","0.05","0.0500079","5.33023e-05","-0.979972","-8.21781e-10"
"1780680614.2590942","-0.97","0.05","0.0500096","5.33537e-05","-0.969968","-8.20732e-10"
"1780680620.4002886","-0.96","0.05","0.0500099","5.31645e-05","-0.959961","-4.64463e-10"
"1780680627.3736024","-0.95","0.05","0.0500059","5.2976e-05","-0.949969","-5.61011e-10"
"1780680633.5311964","-0.94","0.05","0.0500062","5.2905e-05","-0.939965","-4.63069e-10"
"1780680640.5199435","-0.9299999999999999","0.05","0.0500061","5.27636e-05","-0.929976","-3.22616e-10"
"1780680646.70969","-0.9199999999999999","0.05","0.0500072","5.26136e-05","-0.919974","-4.42433e-10"
"1780680652.8832684","-0.9099999999999999","0.05","0.0500112","5.25358e-05","-0.909982","-1.88124e-10"
"1780680659.8885276","-0.8999999999999999","0.05","0.0500086","5.24987e-05","-0.899978","-3.48115e-10"
"1780680666.061219","-0.8899999999999999","0.05","0.0500092","5.24008e-05","-0.889987","-1.84762e-10"
"1780680673.0826464","-0.8799999999999999","0.05","0.0500096","5.22693e-05","-0.879979","-2.82049e-10"
"1780680679.256135","-0.8699999999999999","0.05","0.0500074","5.20984e-05","-0.869974","-1.97673e-10"
"1780680685.430245","-0.8599999999999999","0.05","0.0500096","5.21232e-05","-0.859989","-1.44541e-10"
"1780680692.4347053","-0.8499999999999999","0.05","0.0500045","5.20317e-05","-0.84998","-2.39122e-10"
"1780680698.608514","-0.8399999999999999","0.05","0.0500069","5.18496e-05","-0.839987","-1.46651e-10"
"1780680705.6296446","-0.8299999999999998","0.05","0.0500049","5.17825e-05","-0.829982","-2.73859e-10"
"1780680711.8028884","-0.8199999999999998","0.05","0.0500061","5.17654e-05","-0.819997","-3.47972e-11"
"1780680717.992541","-0.8099999999999998","0.05","0.0500075","5.16603e-05","-0.809996","-2.33591e-10"
"1780680724.9972634","-0.7999999999999998","0.05","0.0500089","5.15473e-05","-0.800002","-7.8392e-11"
"1780680731.170788","-0.7899999999999998","0.05","0.0500082","5.14324e-05","-0.789994","-7.35998e-11"
"1780680738.1756856","-0.7799999999999998","0.05","0.0500093","5.14015e-05","-0.780002","-2.33591e-10"
"1780680744.3654702","-0.7699999999999998","0.05","0.0500072","5.12022e-05","-0.769997","-2.12431e-11"
"1780680750.5387518","-0.7599999999999998","0.05","0.0500048","5.13199e-05","-0.759987","-7.16686e-11"
"1780680757.54393","-0.7499999999999998","0.05","0.0500069","5.11223e-05","-0.749997","-1.41597e-10"
"1780680763.7178228","-0.7399999999999998","0.05","0.0500085","5.11944e-05","-0.73999","-6.02007e-12"
"1780680770.7222886","-0.7299999999999998","0.05","0.0500112","5.10637e-05","-0.730007","-1.95217e-10"
"1780680776.895917","-0.7199999999999998","0.05","0.0500076","5.08858e-05","-0.719999","3.67165e-11"
"1780680783.0693595","-0.7099999999999997","0.05","0.0500108","5.08427e-05","-0.710011","-1.49941e-10"
"1780680790.0747304","-0.6999999999999997","0.05","0.050009","5.07613e-05","-0.700003","-1.12057e-11"
"1780680796.2474186","-0.6899999999999997","0.05","0.0500079","5.07768e-05","-0.690013","-1.18029e-10"
"1780680803.2687967","-0.6799999999999997","0.05","0.0500117","5.0715e-05","-0.680004","-2.88606e-11"
"1780680809.441853","-0.6699999999999997","0.05","0.0500076","5.05863e-05","-0.670002","-7.81775e-11"
"1780680815.6151965","-0.6599999999999997","0.05","0.050009","5.04374e-05","-0.66001","-4.04596e-11"
"1780680822.668939","-0.6499999999999997","0.05","0.0500049","5.0265e-05","-0.650003","-6.01411e-11"
"1780680828.8421648","-0.6399999999999997","0.05","0.0500098","5.0131e-05","-0.640012","-3.49283e-12"
"1780680835.846878","-0.6299999999999997","0.05","0.0500107","5.01432e-05","-0.630005","-8.66294e-11"
"1780680842.020194","-0.6199999999999997","0.05","0.0500075","5.01078e-05","-0.620011","2.15411e-11"
"1780680848.1967783","-0.6099999999999997","0.05","0.0500097","5.01165e-05","-0.610011","-5.32985e-11"
"1780680855.2146795","-0.5999999999999996","0.05","0.0500093","4.99623e-05","-0.600014","-6.2263e-11"
"1780680861.4036722","-0.5899999999999996","0.05","0.0500045","4.98012e-05","-0.590011","4.34279e-11"
"1780680868.4087303","-0.5799999999999996","0.05","0.050006","4.9562e-05","-0.580003","-1.47045e-10"
"1780680874.5815508","-0.5699999999999996","0.05","0.0500118","4.95184e-05","-0.570015","8.84771e-11"
"1780680880.7553136","-0.5599999999999996","0.05","0.0500092","4.94684e-05","-0.560006","-6.67691e-11"
"1780680887.7605062","-0.5499999999999996","0.05","0.0500091","4.93177e-05","-0.550017","-8.91447e-11"
"1780680893.949785","-0.5399999999999996","0.05","0.0500067","4.92793e-05","-0.540008","9.197e-11"
"1780680900.954792","-0.5299999999999996","0.05","0.0500076","4.92118e-05","-0.530019","-6.41584e-11"
"1780680907.1282237","-0.5199999999999996","0.05","0.0500084","4.91402e-05","-0.520009","-7.67708e-11"
"1780680913.301573","-0.5099999999999996","0.05","0.0500071","4.90195e-05","-0.510018","4.95195e-11"
"1780680920.3062642","-0.49999999999999956","0.05","0.0500085","4.89324e-05","-0.500014","1.00195e-10"
"1780680926.4796278","-0.48999999999999955","0.05","0.0500098","4.88296e-05","-0.490019","-2.15292e-11"
"1780680933.5006068","-0.47999999999999954","0.05","0.05001","4.86595e-05","-0.480017","-6.86288e-11"
"1780680939.6738534","-0.46999999999999953","0.05","0.0500085","4.85503e-05","-0.470007","-9.89437e-12"
"1780680945.847725","-0.4599999999999995","0.05","0.0500089","4.84584e-05","-0.460013","6.63877e-11"
"1780680952.8687723","-0.4499999999999995","0.05","0.0500084","4.83045e-05","-0.450005","1.086e-10"
"1780680959.1213682","-0.4399999999999995","0.05","0.050006","4.81774e-05","-0.440019","7.97272e-11"
"1780680966.174825","-0.4299999999999995","0.05","0.0500076","4.80799e-05","-0.430008","3.85165e-11"
"1780680972.4121597","-0.4199999999999995","0.05","0.0500049","4.8035e-05","-0.420021","1.0103e-10"
"1780680978.5855515","-0.4099999999999995","0.05","0.050006","4.78432e-05","-0.410013","1.14608e-10"
"1780680985.590369","-0.39999999999999947","0.05","0.0500063","4.76925e-05","-0.400025","3.46184e-11"
"1780680991.7639005","-0.38999999999999946","0.05","0.0500061","4.76089e-05","-0.390011","-7.46369e-11"
"1780680998.768675","-0.37999999999999945","0.05","0.0500059","4.74538e-05","-0.380005","-1.17135e-10"
"1780681004.9735794","-0.36999999999999944","0.05","0.050012","4.72759e-05","-0.370018","-7.58529e-11"
"1780681011.147188","-0.35999999999999943","0.05","0.0500114","4.71948e-05","-0.360004","5.99146e-11"
"1780681018.1534212","-0.3499999999999994","0.05","0.0500084","4.70312e-05","-0.350014","1.17755e-10"
"1780681024.3413293","-0.3399999999999994","0.05","0.0500085","4.68759e-05","-0.340006","-4.97937e-11"
"1780681031.3460703","-0.3299999999999994","0.05","0.0500104","4.67511e-05","-0.330016","-7.26223e-11"
"1780681037.5191357","-0.3199999999999994","0.05","0.0500088","4.66165e-05","-0.32001","1.37961e-10"
"1780681043.6925771","-0.3099999999999994","0.05","0.0500093","4.64862e-05","-0.310013","8.8954e-11"
"1780681050.7143693","-0.2999999999999994","0.05","0.0500103","4.63097e-05","-0.300001","-9.23753e-11"
"1780681056.887776","-0.28999999999999937","0.05","0.0500093","4.61663e-05","-0.289997","5.99384e-11"
"1780681063.8924508","-0.27999999999999936","0.05","0.05001","4.60191e-05","-0.280005","1.40023e-10"
"1780681070.0659313","-0.26999999999999935","0.05","0.0500084","4.58161e-05","-0.27","-5.43594e-11"
"1780681076.2389123","-0.25999999999999934","0.05","0.0500069","4.566e-05","-0.260006","-1.01376e-10"
"1780681083.2443826","-0.24999999999999933","0.05","0.0500087","4.55479e-05","-0.250002","9.5427e-11"
"1780681089.417422","-0.23999999999999932","0.05","0.0500044","4.5399e-05","-0.240009","1.41287e-10"
"1780681096.4386518","-0.22999999999999932","0.05","0.0500074","4.51621e-05","-0.229997","1.10018e-10"
"1780681102.6120267","-0.2199999999999993","0.05","0.0500048","4.50249e-05","-0.220011","-8.81791e-11"
"1780681108.7846096","-0.2099999999999993","0.05","0.0500095","4.48965e-05","-0.210002","-6.47783e-11"
"1780681115.789829","-0.1999999999999993","0.05","0.0500075","4.47049e-05","-0.200011","7.9608e-11"
"1780681121.9628859","-0.18999999999999928","0.05","0.0500074","4.45061e-05","-0.19","1.24991e-10"
"1780681128.999811","-0.17999999999999927","0.05","0.0500108","4.43046e-05","-0.179991","9.20773e-11"
"1780681135.1729388","-0.16999999999999926","0.05","0.0500101","4.41129e-05","-0.17","-9.36031e-11"
"1780681141.3464496","-0.15999999999999925","0.05","0.050007","4.39355e-05","-0.159997","-6.34432e-11"
"1780681148.3514798","-0.14999999999999925","0.05","0.050011","4.37101e-05","-0.150005","1.35434e-10"
"1780681154.5242467","-0.13999999999999924","0.05","0.0500092","4.35345e-05","-0.139993","5.61476e-11"
"1780681161.530438","-0.12999999999999923","0.05","0.0500093","4.33131e-05","-0.130003","-7.56264e-11"
"1780681167.7029092","-0.11999999999999923","0.05","0.0500119","4.30973e-05","-0.119996","-6.5887e-11"
"1780681173.875603","-0.10999999999999924","0.05","0.0500081","4.28955e-05","-0.110005","6.99759e-12"
"1780681180.8808155","-0.09999999999999924","0.05","0.0500077","4.27034e-05","-0.0999924","1.28329e-10"
