timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current
1790103194.4348664,-1.0,0.05,0.0500053,2.17102e-06,-0.999974,-2.75211e-09
1790103197.7134352,-1.0,-0.05,-0.0500026,-2.19837e-06,-0.999974,-1.40371e-09
1790103200.7840931,-0.99,0.05,0.0500065,2.21674e-06,-0.989968,-1.30993e-09
1790103203.85463,-0.99,-0.05,-0.0500021,-2.23217e-06,-0.989962,-1.03294e-09
1790103207.7568388,-0.98,0.05,0.0500088,2.24019e-06,-0.979979,-5.35309e-10
1790103210.827806,-0.98,-0.05,-0.0500069,-2.24152e-06,-0.979977,-5.62668e-10
1790103213.8985512,-0.97,0.05,0.0500059,2.24639e-06,-0.969971,-8.15165e-10
1790103216.9694543,-0.97,-0.05,-0.0500054,-2.25197e-06,-0.969976,-4.68206e-10
1790103220.0398602,-0.96,0.05,0.0500054,2.25408e-06,-0.959968,-2.55799e-10
1790103223.9421556,-0.96,-0.05,-0.050005,-2.25378e-06,-0.959962,-5.17154e-10
1790103227.013104,-0.95,0.05,0.0500072,2.25669e-06,-0.949975,-6.36363e-10
1790103230.0836928,-0.95,-0.05,-0.0500024,-2.26051e-06,-0.949973,-2.64275e-10
1790103233.1543496,-0.94,0.05,0.0500034,2.2656e-06,-0.93997,-2.25818e-10
1790103236.224898,-0.94,-0.05,-0.0500013,-2.26862e-06,-0.939969,-4.8058e-10
1790103240.1430898,-0.9299999999999999,0.05,0.0500058,2.27666e-06,-0.929978,-5.60141e-10
1790103243.229776,-0.9299999999999999,-0.05,-0.0500038,-2.27602e-06,-0.929983,-2.44355e-10
1790103246.316474,-0.9199999999999999,0.05,0.0500041,2.27855e-06,-0.919973,-1.20795e-10
1790103249.4031045,-0.9199999999999999,-0.05,-0.050004,-2.27902e-06,-0.919972,-4.37582e-10
1790103252.489688,-0.9099999999999999,0.05,0.0500015,2.28529e-06,-0.909985,-5.20468e-10
1790103256.4560964,-0.9099999999999999,-0.05,-0.0499993,-2.28615e-06,-0.909986,-3.48997e-10
1790103259.5429127,-0.8999999999999999,0.05,0.0500069,2.28976e-06,-0.899982,-3.78251e-11
1790103262.629522,-0.8999999999999999,-0.05,-0.0499994,-2.28873e-06,-0.899977,-3.38161e-10
1790103265.7321613,-0.8899999999999999,0.05,0.0500069,2.29295e-06,-0.889994,-4.68063e-10
1790103268.8189528,-0.8899999999999999,-0.05,-0.0499988,-2.28668e-06,-0.889997,-2.50065e-10
1790103272.7372215,-0.8799999999999999,0.05,0.0500037,2.29295e-06,-0.879988,-9.54866e-12
1790103275.8259954,-0.8799999999999999,-0.05,-0.0500022,-2.29174e-06,-0.879988,-3.21817e-10
1790103278.910667,-0.8699999999999999,0.05,0.0500072,2.29404e-06,-0.869981,-3.99756e-10
1790103281.9976337,-0.8699999999999999,-0.05,-0.0500021,-2.29615e-06,-0.86998,-2.48432e-11
1790103285.0843153,-0.8599999999999999,0.05,0.0500051,2.29581e-06,-0.859989,-3.03984e-12
1790103289.0026052,-0.8599999999999999,-0.05,-0.0500022,-2.29524e-06,-0.85999,-3.32487e-10
1790103292.0892758,-0.8499999999999999,0.05,0.050008,2.29643e-06,-0.849982,-3.703e-10
1790103295.1780524,-0.8499999999999999,-0.05,-0.0500011,-2.29493e-06,-0.849981,4.04e-11
1790103298.2627017,-0.8399999999999999,0.05,0.0500052,2.29824e-06,-0.839994,1.34945e-11
1790103301.3493805,-0.8399999999999999,-0.05,-0.050002,-2.29705e-06,-0.839993,-1.68347e-10
1790103305.267923,-0.8299999999999998,0.05,0.0500034,2.29673e-06,-0.829989,-3.98672e-10
1790103308.4346375,-0.8299999999999998,-0.05,-0.0500008,-2.298e-06,-0.829989,-3.87144e-10
1790103311.521274,-0.8199999999999998,0.05,0.0500079,2.30194e-06,-0.820002,-1.61994e-10
1790103314.608131,-0.8199999999999998,-0.05,-0.0500014,-2.2972e-06,-0.820003,8.37088e-11
1790103317.6948466,-0.8099999999999998,0.05,0.0500031,2.29844e-06,-0.809997,2.99811e-11
1790103321.6133287,-0.8099999999999998,-0.05,-0.0500017,-2.29728e-06,-0.809994,-2.84278e-10
1790103324.700086,-0.7999999999999998,0.05,0.0500057,2.2967e-06,-0.800006,-3.25871e-10
1790103327.7867303,-0.7999999999999998,-0.05,-0.0500027,-2.29269e-06,-0.800006,-3.23176e-11
1790103330.8733191,-0.7899999999999998,0.05,0.0500048,2.30065e-06,-0.789997,-3.53825e-10
1790103333.9600081,-0.7899999999999998,-0.05,-0.0500029,-2.30019e-06,-0.789996,-1.39248e-10
1790103337.878377,-0.7799999999999998,0.05,0.050005,2.29241e-06,-0.780007,-3.371e-10
1790103340.9651027,-0.7799999999999998,-0.05,-0.0500037,-2.28761e-06,-0.780007,3.08752e-12
1790103344.0519464,-0.7699999999999998,0.05,0.0500033,2.29589e-06,-0.769999,-1.59264e-11
1790103347.1388414,-0.7699999999999998,-0.05,-0.0500023,-2.28893e-06,-0.77,-3.18182e-10
1790103350.225352,-0.7599999999999998,0.05,0.0500033,2.29087e-06,-0.759999,-2.65372e-10
1790103354.1437993,-0.7599999999999998,-0.05,-0.0500019,-2.28261e-06,-0.759995,1.15025e-10
1790103357.230492,-0.7499999999999998,0.05,0.0500047,2.2891e-06,-0.750004,-3.6931e-11
1790103360.3172739,-0.7499999999999998,-0.05,-0.0500043,-2.28046e-06,-0.750007,-3.29256e-10
1790103363.4040427,-0.7399999999999998,0.05,0.0500048,2.28197e-06,-0.740003,-2.44737e-11
1790103366.4907932,-0.7399999999999998,-0.05,-0.050003,-2.27159e-06,-0.740001,1.42419e-10
1790103370.409841,-0.7299999999999998,0.05,0.0500032,2.28062e-06,-0.730012,-1.43754e-10
1790103373.4959567,-0.7299999999999998,-0.05,-0.0500031,-2.26991e-06,-0.730013,-2.83229e-10
1790103376.5826,-0.7199999999999998,0.05,0.050002,2.27846e-06,-0.720007,9.30309e-11
1790103379.669605,-0.7199999999999998,-0.05,-0.0500054,-2.27e-06,-0.720005,3.93748e-11
1790103382.7560697,-0.7099999999999997,0.05,0.0500023,2.28097e-06,-0.71001,-2.38276e-10
1790103386.6746888,-0.7099999999999997,-0.05,-0.0500016,-2.27221e-06,-0.710011,-1.94561e-10
1790103389.7614248,-0.6999999999999997,0.05,0.0500018,2.27543e-06,-0.700005,1.57607e-10
1790103392.8492508,-0.6999999999999997,-0.05,-0.0500056,-2.268e-06,-0.700007,-6.03199e-12
1790103395.9350233,-0.6899999999999997,0.05,0.0500053,2.27333e-06,-0.690019,-2.99728e-10
1790103399.0377336,-0.6899999999999997,-0.05,-0.0500067,-2.2618e-06,-0.69002,-2.34532e-10
1790103402.9560695,-0.6799999999999997,0.05,0.05,2.26507e-06,-0.680016,1.11079e-10
1790103406.0427566,-0.6799999999999997,-0.05,-0.0500057,-2.25954e-06,-0.680012,1.56927e-10
1790103409.1773632,-0.6699999999999997,0.05,0.0500029,2.26121e-06,-0.670002,-5.40853e-11
1790103412.2640595,-0.6699999999999997,-0.05,-0.0500016,-2.25046e-06,-0.670006,-2.87259e-10
1790103415.3506794,-0.6599999999999997,0.05,0.0500068,2.25603e-06,-0.660013,-9.62377e-11
1790103419.2691333,-0.6599999999999997,-0.05,-0.0500019,-2.24705e-06,-0.66001,1.76549e-10
1790103422.355795,-0.6499999999999997,0.05,0.0500042,2.24368e-06,-0.650002,-9.73821e-11
1790103425.4424508,-0.6499999999999997,-0.05,-0.0500006,-2.23766e-06,-0.650007,-2.64621e-10
1790103428.5290546,-0.6399999999999997,0.05,0.0500064,2.24473e-06,-0.640018,2.36154e-11
1790103431.6155002,-0.6399999999999997,-0.05,-0.050001,-2.2295e-06,-0.640019,1.86825e-10
1790103435.534029,-0.6299999999999997,0.05,0.0500015,2.2347e-06,-0.630009,-6.12021e-11
1790103438.6207066,-0.6299999999999997,-0.05,-0.0500026,-2.23027e-06,-0.63001,-2.75505e-10
1790103441.7074912,-0.6199999999999997,0.05,0.050005,2.22719e-06,-0.620019,-8.65459e-12
1790103444.794254,-0.6199999999999997,-0.05,-0.050001,-2.21365e-06,-0.620017,1.72698e-10
1790103447.8811903,-0.6099999999999997,0.05,0.0500061,2.22255e-06,-0.610011,-1.05143e-11
1790103451.7995214,-0.6099999999999997,-0.05,-0.050005,-2.21122e-06,-0.610012,-2.73693e-10
1790103454.8861816,-0.5999999999999996,0.05,0.0500071,2.21735e-06,-0.60002,-4.82321e-11
1790103457.972927,-0.5999999999999996,-0.05,-0.0500056,-2.20148e-06,-0.600021,1.98007e-10
1790103461.0594437,-0.5899999999999996,0.05,0.0500071,2.20892e-06,-0.590018,1.10269e-11
1790103464.146131,-0.5899999999999996,-0.05,-0.0500016,-2.19476e-06,-0.590016,-1.73295e-10
1790103468.0643756,-0.5799999999999996,0.05,0.0500085,2.19719e-06,-0.580009,-2.34306e-10
1790103471.1511877,-0.5799999999999996,-0.05,-0.0500022,-2.18506e-06,-0.580011,4.49538e-11
1790103474.2377849,-0.5699999999999996,0.05,0.0500066,2.19458e-06,-0.57002,1.95563e-10
1790103477.3246994,-0.5699999999999996,-0.05,-0.0500013,-2.18303e-06,-0.570018,-5.59092e-12
1790103480.4114983,-0.5599999999999996,0.05,0.0500071,2.18797e-06,-0.560011,-1.6067e-10
1790103484.329953,-0.5599999999999996,-0.05,-0.0500024,-2.17112e-06,-0.560012,-2.46263e-10
1790103487.4168317,-0.5499999999999996,0.05,0.0500043,2.18458e-06,-0.550024,-1.83702e-11
1790103490.5035813,-0.5499999999999996,-0.05,-0.0500022,-2.17249e-06,-0.550022,2.08044e-10
1790103493.5904346,-0.5399999999999996,0.05,0.0500051,2.17676e-06,-0.540013,1.03474e-10
1790103496.6772234,-0.5399999999999996,-0.05,-0.0499998,-2.16518e-06,-0.540012,-8.37088e-11
1790103500.595655,-0.5299999999999996,0.05,0.0500078,2.17335e-06,-0.530021,-2.5655e-10
1790103503.6825004,-0.5299999999999996,-0.05,-0.050001,-2.15707e-06,-0.530023,-7.99894e-11
