"timestamp","provided_gate_voltage","provided_channel_voltage","drain_voltage","drain_current","measured_gate_voltage","measured_gate_current"
"1790101195.2807622","-1.0","0.05","0.0500048","1.7445e-06","-0.999973","2.08938e-10"
"1790101201.6300273","-0.99","0.05","0.0500042","1.74462e-06","-0.98997","-2.49934e-10"
"1790101208.6029413","-0.98","0.05","0.0500068","1.7447e-06","-0.979975","7.02143e-11"
"1790101214.7442741","-0.97","0.05","0.0500031","1.74421e-06","-0.969973","1.30415e-11"
"1790101221.3021722","-0.96","0.05","0.0500046","1.74562e-06","-0.959964","-1.71983e-10"
"1790101227.8631897","-0.95","0.05","0.0500071","1.74457e-06","-0.949979","-2.07174e-10"
"1790101234.0004761","-0.94","0.05","0.050005","1.74533e-06","-0.939972","-1.11341e-10"
"1790101241.0080764","-0.9299999999999999","0.05","0.0500044","1.74496e-06","-0.929978","9.30548e-11"
"1790101247.1794007","-0.9199999999999999","0.05","0.0500057","1.74585e-06","-0.919974","-5.99384e-11"
"1790101253.7691667","-0.9099999999999999","0.05","0.0500078","1.74583e-06","-0.909983","1.15025e-10"
"1790101260.3582149","-0.8999999999999999","0.05","0.0500067","1.74853e-06","-0.89998","-8.18491e-11"
"1790101266.531701","-0.8899999999999999","0.05","0.0500043","1.74247e-06","-0.889993","7.45416e-11"
"1790101273.5369797","-0.8799999999999999","0.05","0.050004","1.74638e-06","-0.879988","-5.83291e-11"
"1790101279.7268462","-0.8699999999999999","0.05","0.0500031","1.74664e-06","-0.869976","2.4426e-11"
"1790101286.3164408","-0.8599999999999999","0.05","0.0500051","1.74369e-06","-0.859986","-5.49555e-11"
"1790101292.9059875","-0.8499999999999999","0.05","0.0500024","1.74431e-06","-0.849982","-1.33872e-11"
"1790101299.0799062","-0.8399999999999999","0.05","0.0500042","1.74304e-06","-0.839994","3.77536e-11"
"1790101306.08563","-0.8299999999999998","0.05","0.0500086","1.74455e-06","-0.829986","-9.84311e-11"
"1790101312.2747457","-0.8199999999999998","0.05","0.0500067","1.74133e-06","-0.819998","1.49393e-10"
"1790101318.8641474","-0.8099999999999998","0.05","0.050006","1.74343e-06","-0.809992","-2.1081e-10"
"1790101325.4537623","-0.7999999999999998","0.05","0.0500044","1.73976e-06","-0.800003","2.21717e-10"
"1790101331.6276674","-0.7899999999999998","0.05","0.0500056","1.74161e-06","-0.789995","-2.09105e-10"
"1790101338.6329296","-0.7799999999999998","0.05","0.0500069","1.7398e-06","-0.780007","1.50394e-10"
"1790101344.8068001","-0.7699999999999998","0.05","0.0500088","1.74192e-06","-0.770002","-9.69052e-11"
"1790101351.3960183","-0.7599999999999998","0.05","0.0500038","1.74233e-06","-0.759995","7.71165e-11"
"1790101357.9857247","-0.7499999999999998","0.05","0.0500054","1.74181e-06","-0.750005","5.29885e-11"
"1790101364.1595662","-0.7399999999999998","0.05","0.0500058","1.7421e-06","-0.74","-1.26755e-10"
"1790101371.1647623","-0.7299999999999998","0.05","0.050004","1.74087e-06","-0.73001","8.67367e-11"
"1790101377.3383293","-0.7199999999999998","0.05","0.0500082","1.74183e-06","-0.72","-9.93729e-11"
"1790101383.9280715","-0.7099999999999997","0.05","0.0500034","1.74228e-06","-0.710009","-6.07848e-11"
"1790101390.5177145","-0.6999999999999997","0.05","0.0500048","1.74185e-06","-0.700004","4.18663e-11"
"1790101396.691396","-0.6899999999999997","0.05","0.0500024","1.73884e-06","-0.690015","-1.77789e-10"
"1790101403.6966925","-0.6799999999999997","0.05","0.0500066","1.74228e-06","-0.680008","2.22135e-10"
"1790101409.8701673","-0.6699999999999997","0.05","0.0500045","1.74394e-06","-0.670001","-2.36928e-10"
"1790101416.4590833","-0.6599999999999997","0.05","0.0500033","1.74147e-06","-0.660011","-9.3174e-11"
"1790101423.04806","-0.6499999999999997","0.05","0.0500045","1.74253e-06","-0.650009","2.2012e-10"
"1790101429.237181","-0.6399999999999997","0.05","0.0500058","1.74123e-06","-0.640013","-1.28734e-10"
"1790101436.241706","-0.6299999999999997","0.05","0.0500024","1.74057e-06","-0.63001","-2.57492e-11"
"1790101442.4149015","-0.6199999999999997","0.05","0.0500055","1.7416e-06","-0.620021","4.33803e-11"
"1790101449.0034916","-0.6099999999999997","0.05","0.0500048","1.74037e-06","-0.610014","-2.21705e-10"
"1790101455.5925508","-0.5999999999999996","0.05","0.0500081","1.73861e-06","-0.600023","2.26557e-10"
"1790101461.7656417","-0.5899999999999996","0.05","0.0500054","1.7382e-06","-0.590015","-9.93252e-11"
"1790101468.7704675","-0.5799999999999996","0.05","0.0500095","1.74081e-06","-0.580005","-1.34397e-10"
"1790101474.9438417","-0.5699999999999996","0.05","0.0500064","1.73854e-06","-0.570017","2.02513e-10"
"1790101481.532998","-0.5599999999999996","0.05","0.0500066","1.73772e-06","-0.56001","-1.52326e-10"
"1790101488.122318","-0.5499999999999996","0.05","0.0500063","1.74067e-06","-0.550018","2.30312e-11"
"1790101494.3278935","-0.5399999999999996","0.05","0.050001","1.73709e-06","-0.540013","2.24102e-10"
"1790101501.33295","-0.5299999999999996","0.05","0.0500046","1.73941e-06","-0.530019","-9.43542e-11"
"1790101507.5064254","-0.5199999999999996","0.05","0.050008","1.73971e-06","-0.520013","-1.70136e-10"
"1790101514.0957673","-0.5099999999999996","0.05","0.0500055","1.73897e-06","-0.510023","1.05596e-10"
"1790101520.6845171","-0.49999999999999956","0.05","0.0500066","1.73734e-06","-0.500015","1.531e-10"
