timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current
1790101195.2807622,-1.0,0.05,0.0500048,1.7445e-06,-0.999973,2.08938e-10
1790101198.5595706,-1.0,-0.05,-0.050003,-1.75301e-06,-0.999972,-2.27809e-11
1790101201.6300273,-0.99,0.05,0.0500042,1.74462e-06,-0.98997,-2.49934e-10
1790101205.1163158,-0.99,-0.05,-0.0499984,-1.75322e-06,-0.989967,-2.20406e-10
1790101208.6029413,-0.98,0.05,0.0500068,1.7447e-06,-0.979975,7.02143e-11
1790101211.673691,-0.98,-0.05,-0.0500001,-1.74995e-06,-0.97998,2.19119e-10
1790101214.7442741,-0.97,0.05,0.0500031,1.74421e-06,-0.969973,1.30415e-11
1790101217.8151896,-0.97,-0.05,-0.0500028,-1.7544e-06,-0.96997,-2.3092e-10
1790101221.3021722,-0.96,0.05,0.0500046,1.74562e-06,-0.959964,-1.71983e-10
1790101224.7884257,-0.96,-0.05,-0.0500021,-1.75264e-06,-0.959965,2.24674e-10
1790101227.8631897,-0.95,0.05,0.0500071,1.74457e-06,-0.949979,-2.07174e-10
1790101230.9296281,-0.95,-0.05,-0.0500045,-1.75382e-06,-0.949979,-1.76716e-10
1790101234.0004761,-0.94,0.05,0.050005,1.74533e-06,-0.939972,-1.11341e-10
1790101237.5036917,-0.94,-0.05,-0.0500047,-1.75123e-06,-0.939974,1.80924e-10
1790101241.0080764,-0.9299999999999999,0.05,0.0500044,1.74496e-06,-0.929978,9.30548e-11
1790101244.092777,-0.9299999999999999,-0.05,-0.0499988,-1.75134e-06,-0.929978,-2.46978e-10
1790101247.1794007,-0.9199999999999999,0.05,0.0500057,1.74585e-06,-0.919974,-5.99384e-11
1790101250.2664785,-0.9199999999999999,-0.05,-0.0500008,-1.75188e-06,-0.919974,2.14589e-10
1790101253.7691667,-0.9099999999999999,0.05,0.0500078,1.74583e-06,-0.909983,1.15025e-10
1790101257.2713926,-0.9099999999999999,-0.05,-0.0500024,-1.75365e-06,-0.909987,-2.25317e-10
1790101260.3582149,-0.8999999999999999,0.05,0.0500067,1.74853e-06,-0.89998,-8.18491e-11
1790101263.4457216,-0.8999999999999999,-0.05,-0.0500024,-1.75073e-06,-0.89998,2.23029e-10
1790101266.531701,-0.8899999999999999,0.05,0.0500043,1.74247e-06,-0.889993,7.45416e-11
1790101270.03441,-0.8899999999999999,-0.05,-0.0500018,-1.75302e-06,-0.889991,-2.38705e-10
1790101273.5369797,-0.8799999999999999,0.05,0.050004,1.74638e-06,-0.879988,-5.83291e-11
1790101276.6399205,-0.8799999999999999,-0.05,-0.0500023,-1.7521e-06,-0.879985,2.20227e-10
1790101279.7268462,-0.8699999999999999,0.05,0.0500031,1.74664e-06,-0.869976,2.4426e-11
1790101282.8137865,-0.8699999999999999,-0.05,-0.0500033,-1.75574e-06,-0.869977,-2.44689e-10
1790101286.3164408,-0.8599999999999999,0.05,0.0500051,1.74369e-06,-0.859986,-5.49555e-11
1790101289.8192399,-0.8599999999999999,-0.05,-0.0500028,-1.75353e-06,-0.859989,2.25627e-10
1790101292.9059875,-0.8499999999999999,0.05,0.0500024,1.74431e-06,-0.849982,-1.33872e-11
1790101295.993124,-0.8499999999999999,-0.05,-0.0500061,-1.7505e-06,-0.849983,-2.34962e-10
1790101299.0799062,-0.8399999999999999,0.05,0.0500042,1.74304e-06,-0.839994,3.77536e-11
1790101302.5822592,-0.8399999999999999,-0.05,-0.0500015,-1.75252e-06,-0.839992,2.16532e-10
1790101306.08563,-0.8299999999999998,0.05,0.0500086,1.74455e-06,-0.829986,-9.84311e-11
1790101309.1898167,-0.8299999999999998,-0.05,-0.0500005,-1.7497e-06,-0.829983,-2.21097e-10
1790101312.2747457,-0.8199999999999998,0.05,0.0500067,1.74133e-06,-0.819998,1.49393e-10
1790101315.3617783,-0.8199999999999998,-0.05,-0.0500033,-1.74958e-06,-0.819998,1.46043e-10
1790101318.8641474,-0.8099999999999998,0.05,0.050006,1.74343e-06,-0.809992,-2.1081e-10
1790101322.3669987,-0.8099999999999998,-0.05,-0.0500005,-1.74946e-06,-0.809995,-8.01682e-11
1790101325.4537623,-0.7999999999999998,0.05,0.0500044,1.73976e-06,-0.800003,2.21717e-10
1790101328.5406208,-0.7999999999999998,-0.05,-0.050003,-1.74808e-06,-0.8,-1.16289e-10
1790101331.6276674,-0.7899999999999998,0.05,0.0500056,1.74161e-06,-0.789995,-2.09105e-10
1790101335.1301746,-0.7899999999999998,-0.05,-0.0500018,-1.74636e-06,-0.789996,1.2058e-10
1790101338.6329296,-0.7799999999999998,0.05,0.0500069,1.7398e-06,-0.780007,1.50394e-10
1790101341.7199862,-0.7799999999999998,-0.05,-0.0500023,-1.74928e-06,-0.780008,-2.19107e-10
1790101344.8068001,-0.7699999999999998,0.05,0.0500088,1.74192e-06,-0.770002,-9.69052e-11
1790101347.9000535,-0.7699999999999998,-0.05,-0.0500035,-1.74909e-06,-0.770002,2.19452e-10
1790101351.3960183,-0.7599999999999998,0.05,0.0500038,1.74233e-06,-0.759995,7.71165e-11
1790101354.8987331,-0.7599999999999998,-0.05,-0.0500052,-1.74722e-06,-0.75999,-2.43998e-10
1790101357.9857247,-0.7499999999999998,0.05,0.0500054,1.74181e-06,-0.750005,5.29885e-11
1790101361.0724716,-0.7499999999999998,-0.05,-0.0500042,-1.75087e-06,-0.750005,1.97124e-10
1790101364.1595662,-0.7399999999999998,0.05,0.0500058,1.7421e-06,-0.74,-1.26755e-10
1790101367.6632085,-0.7399999999999998,-0.05,-0.0500012,-1.75115e-06,-0.740002,-2.27809e-10
1790101371.1647623,-0.7299999999999998,0.05,0.050004,1.74087e-06,-0.73001,8.67367e-11
1790101374.2516274,-0.7299999999999998,-0.05,-0.0500051,-1.74796e-06,-0.73001,2.03204e-10
1790101377.3383293,-0.7199999999999998,0.05,0.0500082,1.74183e-06,-0.72,-9.93729e-11
1790101380.4253078,-0.7199999999999998,-0.05,-0.0500013,-1.74906e-06,-0.720002,-2.39646e-10
1790101383.9280715,-0.7099999999999997,0.05,0.0500034,1.74228e-06,-0.710009,-6.07848e-11
1790101387.4309218,-0.7099999999999997,-0.05,-0.0500061,-1.74876e-06,-0.710011,2.24042e-10
1790101390.5177145,-0.6999999999999997,0.05,0.0500048,1.74185e-06,-0.700004,4.18663e-11
1790101393.6044586,-0.6999999999999997,-0.05,-0.0500052,-1.75157e-06,-0.700003,-2.30646e-10
1790101396.691396,-0.6899999999999997,0.05,0.0500024,1.73884e-06,-0.690015,-1.77789e-10
1790101400.1940846,-0.6899999999999997,-0.05,-0.0500014,-1.74479e-06,-0.690018,5.98192e-11
